Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,2484


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

141,04/04/2018 , 21:15:00,0,0
142,04/04/2018 , 21:30:00,0,0
143,04/04/2018 , 21:45:00,0,0
144,04/04/2018 , 22:00:00,0,0
145,04/04/2018 , 22:15:00,0,0
146,04/04/2018 , 22:30:00,0,0
147,04/04/2018 , 22:45:00,0,0
148,04/04/2018 , 23:00:00,0,0
149,04/04/2018 , 23:15:00,0,0
150,04/04/2018 , 23:30:00,0,0
151,04/04/2018 , 23:45:00,0,0
152,04/04/2018 , 24:00:00,0,0
153,05/04/2018 , 00:15:00,0,0
154,05/04/2018 , 00:30:00,0,0
155,05/04/2018 , 00:45:00,0,0
156,05/04/2018 , 01:00:00,0,0
157,05/04/2018 , 01:15:00,0,0
158,05/04/2018 , 01:30:00,0,0
159,05/04/2018 , 01:45:00,0,0
160,05/04/2018 , 02:00:00,0,0
161,05/04/2018 , 02:15:00,0,0
162,05/04/2018 , 02:30:00,0,0
163,05/04/2018 , 02:45:00,0,0
164,05/04/2018 , 03:00:00,0,0
165,05/04/2018 , 03:15:00,0,0
166,05/04/2018 , 03:30:00,0,0
167,05/04/2018 , 03:45:00,0,0
168,05/04/2018 , 04:00:00,0,0
169,05/04/2018 , 04:15:00,0,0
170,05/04/2018 , 04:30:00,0,0
171,05/04/2018 , 04:45:00,0,0
172,05/04/2018 , 05:00:00,0,0
173,05/04/2018 , 05:15:00,0,0
174,05/04/2018 , 05:30:00,0,0
175,05/04/2018 , 05:45:00,0,0
176,05/04/2018 , 06:00:00,0,0
177,05/04/2018 , 06:15:00,13,13
178,05/04/2018 , 06:30:00,66,66
179,05/04/2018 , 06:45:00,184,184
180,05/04/2018 , 07:00:00,790,790
181,05/04/2018 , 07:15:00,1799,1799
182,05/04/2018 , 07:30:00,1997,1997
183,05/04/2018 , 07:45:00,4307,4307
184,05/04/2018 , 08:00:00,5151,5151
185,05/04/2018 , 08:15:00,4052,4052
186,05/04/2018 , 08:30:00,5156,5156
187,05/04/2018 , 08:45:00,7465,7465
188,05/04/2018 , 09:00:00,7655,7655
189,05/04/2018 , 09:15:00,9285,9285
190,05/04/2018 , 09:30:00,8278,8278
191,05/04/2018 , 09:45:00,6455,6455
192,05/04/2018 , 10:00:00,6315,6315
193,05/04/2018 , 10:15:00,6056,6056
194,05/04/2018 , 10:30:00,5316,5316
195,05/04/2018 , 10:45:00,6424,6424
196,05/04/2018 , 11:00:00,6925,6925
197,05/04/2018 , 11:15:00,5932,5932
198,05/04/2018 , 11:30:00,7635,7635
199,05/04/2018 , 11:45:00,6533,6533
200,05/04/2018 , 12:00:00,7998,7998
201,05/04/2018 , 12:15:00,6785,6785
202,05/04/2018 , 12:30:00,4584,4584
203,05/04/2018 , 12:45:00,5755,5755
204,05/04/2018 , 13:00:00,11240,11240
205,05/04/2018 , 13:15:00,15490,15490
206,05/04/2018 , 13:30:00,23676,23676
207,05/04/2018 , 13:45:00,22281,22281
208,05/04/2018 , 14:00:00,15434,15434
209,05/04/2018 , 14:15:00,25516,25516
210,05/04/2018 , 14:30:00,17678,17678
211,05/04/2018 , 14:45:00,16393,16393
212,05/04/2018 , 15:00:00,16385,16385
213,05/04/2018 , 15:15:00,8881,8881
214,05/04/2018 , 15:30:00,18792,18792
215,05/04/2018 , 15:45:00,16327,16327
216,05/04/2018 , 16:00:00,14452,14452
217,05/04/2018 , 16:15:00,14403,14403
218,05/04/2018 , 16:30:00,9262,9262
219,05/04/2018 , 16:45:00,6938,6938
220,05/04/2018 , 17:00:00,490,490
221,05/04/2018 , 17:15:00,41,41
222,05/04/2018 , 17:30:00,66,66
223,05/04/2018 , 17:45:00,53,53
