Site Name ,MARIAHO
Site Number ,3
Logger ,Integrating Light Sensor
Logger Serial Number ,10957


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,20/11/2017 , 15:15:00,390,390
2,20/11/2017 , 15:30:00,247,247
3,20/11/2017 , 15:45:00,506,506
4,20/11/2017 , 16:00:00,477,477
5,20/11/2017 , 16:15:00,261,261
6,20/11/2017 , 16:30:00,252,252
7,20/11/2017 , 16:45:00,402,402
8,20/11/2017 , 17:00:00,177,177
9,20/11/2017 , 17:15:00,71,71
10,20/11/2017 , 17:30:00,47,47
11,20/11/2017 , 17:45:00,23,23
12,20/11/2017 , 18:00:00,2,2
13,20/11/2017 , 18:15:00,0,0
14,20/11/2017 , 18:30:00,0,0
15,20/11/2017 , 18:45:00,0,0
16,20/11/2017 , 19:00:00,0,0
17,20/11/2017 , 19:15:00,0,0
18,20/11/2017 , 19:30:00,0,0
19,20/11/2017 , 19:45:00,0,0
20,20/11/2017 , 20:00:00,0,0
21,20/11/2017 , 20:15:00,0,0
22,20/11/2017 , 20:30:00,0,0
23,20/11/2017 , 20:45:00,0,0
24,20/11/2017 , 21:00:00,0,0
25,20/11/2017 , 21:15:00,0,0
26,20/11/2017 , 21:30:00,0,0
27,20/11/2017 , 21:45:00,0,0
28,20/11/2017 , 22:00:00,0,0
29,20/11/2017 , 22:15:00,0,0
30,20/11/2017 , 22:30:00,0,0
31,20/11/2017 , 22:45:00,0,0
32,20/11/2017 , 23:00:00,0,0
33,20/11/2017 , 23:15:00,0,0
34,20/11/2017 , 23:30:00,0,0
35,20/11/2017 , 23:45:00,0,0
36,20/11/2017 , 24:00:00,0,0
37,21/11/2017 , 00:15:00,0,0
38,21/11/2017 , 00:30:00,0,0
39,21/11/2017 , 00:45:00,0,0
40,21/11/2017 , 01:00:00,0,0
41,21/11/2017 , 01:15:00,0,0
42,21/11/2017 , 01:30:00,0,0
43,21/11/2017 , 01:45:00,0,0
44,21/11/2017 , 02:00:00,0,0
45,21/11/2017 , 02:15:00,0,0
46,21/11/2017 , 02:30:00,0,0
47,21/11/2017 , 02:45:00,0,0
48,21/11/2017 , 03:00:00,0,0
49,21/11/2017 , 03:15:00,0,0
50,21/11/2017 , 03:30:00,0,0
51,21/11/2017 , 03:45:00,0,0
52,21/11/2017 , 04:00:00,0,0
53,21/11/2017 , 04:15:00,0,0
54,21/11/2017 , 04:30:00,0,0
55,21/11/2017 , 04:45:00,0,0
56,21/11/2017 , 05:00:00,0,0
57,21/11/2017 , 05:15:00,0,0
58,21/11/2017 , 05:30:00,0,0
59,21/11/2017 , 05:45:00,0,0
60,21/11/2017 , 06:00:00,0,0
61,21/11/2017 , 06:15:00,0,0
62,21/11/2017 , 06:30:00,0,0
63,21/11/2017 , 06:45:00,1,1
64,21/11/2017 , 07:00:00,25,25
65,21/11/2017 , 07:15:00,61,61
66,21/11/2017 , 07:30:00,95,95
67,21/11/2017 , 07:45:00,129,129
68,21/11/2017 , 08:00:00,288,288
69,21/11/2017 , 08:15:00,347,347
70,21/11/2017 , 08:30:00,441,441
71,21/11/2017 , 08:45:00,430,430
72,21/11/2017 , 09:00:00,576,576
73,21/11/2017 , 09:15:00,619,619
74,21/11/2017 , 09:30:00,864,864
75,21/11/2017 , 09:45:00,878,878
76,21/11/2017 , 10:00:00,787,787
77,21/11/2017 , 10:15:00,1256,1256
78,21/11/2017 , 10:30:00,2114,2114
79,21/11/2017 , 10:45:00,1757,1757
80,21/11/2017 , 11:00:00,1062,1062
81,21/11/2017 , 11:15:00,980,980
82,21/11/2017 , 11:30:00,1115,1115
83,21/11/2017 , 11:45:00,1554,1554
84,21/11/2017 , 12:00:00,1782,1782
85,21/11/2017 , 12:15:00,1416,1416
86,21/11/2017 , 12:30:00,1526,1526
87,21/11/2017 , 12:45:00,1826,1826
88,21/11/2017 , 13:00:00,1786,1786
89,21/11/2017 , 13:15:00,1744,1744
90,21/11/2017 , 13:30:00,1624,1624
91,21/11/2017 , 13:45:00,1413,1413
92,21/11/2017 , 14:00:00,1289,1289
93,21/11/2017 , 14:15:00,1250,1250
94,21/11/2017 , 14:30:00,1123,1123
95,21/11/2017 , 14:45:00,1177,1177
96,21/11/2017 , 15:00:00,730,730
97,21/11/2017 , 15:15:00,365,365
98,21/11/2017 , 15:30:00,221,221
99,21/11/2017 , 15:45:00,573,573
100,21/11/2017 , 16:00:00,558,558
101,21/11/2017 , 16:15:00,483,483
102,21/11/2017 , 16:30:00,146,146
103,21/11/2017 , 16:45:00,155,155
104,21/11/2017 , 17:00:00,118,118
105,21/11/2017 , 17:15:00,90,90
106,21/11/2017 , 17:30:00,44,44
107,21/11/2017 , 17:45:00,24,24
108,21/11/2017 , 18:00:00,3,3
109,21/11/2017 , 18:15:00,0,0
110,21/11/2017 , 18:30:00,0,0
