Site Name ,PAR7277
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,7277


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

145,22/11/2017 , 03:15:00,0,0
146,22/11/2017 , 03:30:00,0,0
147,22/11/2017 , 03:45:00,0,0
148,22/11/2017 , 04:00:00,0,0
149,22/11/2017 , 04:15:00,0,0
150,22/11/2017 , 04:30:00,0,0
151,22/11/2017 , 04:45:00,0,0
152,22/11/2017 , 05:00:00,0,0
153,22/11/2017 , 05:15:00,0,0
154,22/11/2017 , 05:30:00,0,0
155,22/11/2017 , 05:45:00,0,0
156,22/11/2017 , 06:00:00,0,0
157,22/11/2017 , 06:15:00,0,0
158,22/11/2017 , 06:30:00,0,0
159,22/11/2017 , 06:45:00,6,6
160,22/11/2017 , 07:00:00,33,33
161,22/11/2017 , 07:15:00,91,91
162,22/11/2017 , 07:30:00,146,146
163,22/11/2017 , 07:45:00,182,182
164,22/11/2017 , 08:00:00,350,350
165,22/11/2017 , 08:15:00,664,664
166,22/11/2017 , 08:30:00,784,784
167,22/11/2017 , 08:45:00,969,969
168,22/11/2017 , 09:00:00,941,941
169,22/11/2017 , 09:15:00,2841,2841
170,22/11/2017 , 09:30:00,1505,1505
171,22/11/2017 , 09:45:00,832,832
172,22/11/2017 , 10:00:00,2660,2660
173,22/11/2017 , 10:15:00,1876,1876
174,22/11/2017 , 10:30:00,981,981
175,22/11/2017 , 10:45:00,1332,1332
176,22/11/2017 , 11:00:00,2144,2144
177,22/11/2017 , 11:15:00,2035,2035
178,22/11/2017 , 11:30:00,2287,2287
179,22/11/2017 , 11:45:00,1691,1691
180,22/11/2017 , 12:00:00,1595,1595
181,22/11/2017 , 12:15:00,1895,1895
182,22/11/2017 , 12:30:00,2874,2874
183,22/11/2017 , 12:45:00,2303,2303
184,22/11/2017 , 13:00:00,1948,1948
185,22/11/2017 , 13:15:00,2152,2152
186,22/11/2017 , 13:30:00,1765,1765
187,22/11/2017 , 13:45:00,1604,1604
188,22/11/2017 , 14:00:00,1906,1906
189,22/11/2017 , 14:15:00,2029,2029
190,22/11/2017 , 14:30:00,1779,1779
191,22/11/2017 , 14:45:00,2242,2242
192,22/11/2017 , 15:00:00,1505,1505
193,22/11/2017 , 15:15:00,1372,1372
194,22/11/2017 , 15:30:00,791,791
195,22/11/2017 , 15:45:00,1435,1435
196,22/11/2017 , 16:00:00,1172,1172
197,22/11/2017 , 16:15:00,686,686
198,22/11/2017 , 16:30:00,381,381
199,22/11/2017 , 16:45:00,426,426
200,22/11/2017 , 17:00:00,486,486
201,22/11/2017 , 17:15:00,307,307
202,22/11/2017 , 17:30:00,209,209
203,22/11/2017 , 17:45:00,75,75
204,22/11/2017 , 18:00:00,10,10
205,22/11/2017 , 18:15:00,0,0
206,22/11/2017 , 18:30:00,0,0
207,22/11/2017 , 18:45:00,0,0
208,22/11/2017 , 19:00:00,0,0
209,22/11/2017 , 19:15:00,0,0
210,22/11/2017 , 19:30:00,0,0
211,22/11/2017 , 19:45:00,0,0
212,22/11/2017 , 20:00:00,0,0
213,22/11/2017 , 20:15:00,0,0
214,22/11/2017 , 20:30:00,0,0
215,22/11/2017 , 20:45:00,0,0
216,22/11/2017 , 21:00:00,0,0
217,22/11/2017 , 21:15:00,0,0
218,22/11/2017 , 21:30:00,0,0
219,22/11/2017 , 21:45:00,0,0
220,22/11/2017 , 22:00:00,0,0
221,22/11/2017 , 22:15:00,0,0
222,22/11/2017 , 22:30:00,0,0
223,22/11/2017 , 22:45:00,0,0
224,22/11/2017 , 23:00:00,0,0
225,22/11/2017 , 23:15:00,0,0
226,22/11/2017 , 23:30:00,0,0
227,22/11/2017 , 23:45:00,0,0
228,22/11/2017 , 24:00:00,0,0
229,23/11/2017 , 00:15:00,0,0
230,23/11/2017 , 00:30:00,0,0
231,23/11/2017 , 00:45:00,0,0
232,23/11/2017 , 01:00:00,0,0
233,23/11/2017 , 01:15:00,0,0
234,23/11/2017 , 01:30:00,0,0
235,23/11/2017 , 01:45:00,0,0
236,23/11/2017 , 02:00:00,0,0
237,23/11/2017 , 02:15:00,0,0
238,23/11/2017 , 02:30:00,0,0
239,23/11/2017 , 02:45:00,0,0
240,23/11/2017 , 03:00:00,0,0
241,23/11/2017 , 03:15:00,0,0
242,23/11/2017 , 03:30:00,0,0
243,23/11/2017 , 03:45:00,0,0
244,23/11/2017 , 04:00:00,0,0
245,23/11/2017 , 04:15:00,0,0
246,23/11/2017 , 04:30:00,0,0
247,23/11/2017 , 04:45:00,0,0
248,23/11/2017 , 05:00:00,0,0
249,23/11/2017 , 05:15:00,0,0
250,23/11/2017 , 05:30:00,0,0
251,23/11/2017 , 05:45:00,0,0
252,23/11/2017 , 06:00:00,0,0
253,23/11/2017 , 06:15:00,0,0
254,23/11/2017 , 06:30:00,0,0
255,23/11/2017 , 06:45:00,6,6
256,23/11/2017 , 07:00:00,39,39
257,23/11/2017 , 07:15:00,106,106
258,23/11/2017 , 07:30:00,172,172
259,23/11/2017 , 07:45:00,339,339
260,23/11/2017 , 08:00:00,349,349
261,23/11/2017 , 08:15:00,323,323
262,23/11/2017 , 08:30:00,638,638
263,23/11/2017 , 08:45:00,498,498
264,23/11/2017 , 09:00:00,933,933
265,23/11/2017 , 09:15:00,1579,1579
266,23/11/2017 , 09:30:00,1605,1605
267,23/11/2017 , 09:45:00,1751,1751
268,23/11/2017 , 10:00:00,1154,1154
269,23/11/2017 , 10:15:00,1633,1633
270,23/11/2017 , 10:30:00,1805,1805
271,23/11/2017 , 10:45:00,1313,1313
272,23/11/2017 , 11:00:00,1827,1827
273,23/11/2017 , 11:15:00,2051,2051
274,23/11/2017 , 11:30:00,1860,1860
275,23/11/2017 , 11:45:00,3112,3112
276,23/11/2017 , 12:00:00,3333,3333
277,23/11/2017 , 12:15:00,2789,2789
278,23/11/2017 , 12:30:00,3327,3327
279,23/11/2017 , 12:45:00,3409,3409
280,23/11/2017 , 13:00:00,3549,3549
281,23/11/2017 , 13:15:00,1920,1920
282,23/11/2017 , 13:30:00,1156,1156
283,23/11/2017 , 13:45:00,1567,1567
284,23/11/2017 , 14:00:00,1739,1739
285,23/11/2017 , 14:15:00,1944,1944
286,23/11/2017 , 14:30:00,1770,1770
287,23/11/2017 , 14:45:00,1535,1535
288,23/11/2017 , 15:00:00,1150,1150
289,23/11/2017 , 15:15:00,1000,1000
290,23/11/2017 , 15:30:00,1058,1058
291,23/11/2017 , 15:45:00,674,674
292,23/11/2017 , 16:00:00,733,733
293,23/11/2017 , 16:15:00,500,500
294,23/11/2017 , 16:30:00,444,444
295,23/11/2017 , 16:45:00,279,279
296,23/11/2017 , 17:00:00,222,222
297,23/11/2017 , 17:15:00,173,173
298,23/11/2017 , 17:30:00,96,96
299,23/11/2017 , 17:45:00,29,29
300,23/11/2017 , 18:00:00,5,5
301,23/11/2017 , 18:15:00,0,0
302,23/11/2017 , 18:30:00,0,0
303,23/11/2017 , 18:45:00,0,0
304,23/11/2017 , 19:00:00,0,0
305,23/11/2017 , 19:15:00,0,0
306,23/11/2017 , 19:30:00,0,0
307,23/11/2017 , 19:45:00,0,0
308,23/11/2017 , 20:00:00,0,0
309,23/11/2017 , 20:15:00,0,0
310,23/11/2017 , 20:30:00,0,0
311,23/11/2017 , 20:45:00,0,0
312,23/11/2017 , 21:00:00,0,0
313,23/11/2017 , 21:15:00,0,0
314,23/11/2017 , 21:30:00,0,0
315,23/11/2017 , 21:45:00,0,0
316,23/11/2017 , 22:00:00,0,0
317,23/11/2017 , 22:15:00,0,0
318,23/11/2017 , 22:30:00,0,0
319,23/11/2017 , 22:45:00,0,0
320,23/11/2017 , 23:00:00,0,0
321,23/11/2017 , 23:15:00,0,0
322,23/11/2017 , 23:30:00,0,0
323,23/11/2017 , 23:45:00,0,0
324,23/11/2017 , 24:00:00,0,0
325,24/11/2017 , 00:15:00,0,0
326,24/11/2017 , 00:30:00,0,0
327,24/11/2017 , 00:45:00,0,0
328,24/11/2017 , 01:00:00,0,0
329,24/11/2017 , 01:15:00,0,0
330,24/11/2017 , 01:30:00,0,0
331,24/11/2017 , 01:45:00,0,0
332,24/11/2017 , 02:00:00,0,0
333,24/11/2017 , 02:15:00,0,0
334,24/11/2017 , 02:30:00,0,0
335,24/11/2017 , 02:45:00,0,0
336,24/11/2017 , 03:00:00,0,0
337,24/11/2017 , 03:15:00,0,0
338,24/11/2017 , 03:30:00,0,0
339,24/11/2017 , 03:45:00,0,0
340,24/11/2017 , 04:00:00,0,0
341,24/11/2017 , 04:15:00,0,0
342,24/11/2017 , 04:30:00,0,0
343,24/11/2017 , 04:45:00,0,0
344,24/11/2017 , 05:00:00,0,0
345,24/11/2017 , 05:15:00,0,0
346,24/11/2017 , 05:30:00,0,0
347,24/11/2017 , 05:45:00,0,0
348,24/11/2017 , 06:00:00,0,0
349,24/11/2017 , 06:15:00,0,0
350,24/11/2017 , 06:30:00,0,0
351,24/11/2017 , 06:45:00,3,3
352,24/11/2017 , 07:00:00,29,29
353,24/11/2017 , 07:15:00,99,99
354,24/11/2017 , 07:30:00,232,232
355,24/11/2017 , 07:45:00,326,326
356,24/11/2017 , 08:00:00,174,174
357,24/11/2017 , 08:15:00,679,679
358,24/11/2017 , 08:30:00,496,496
359,24/11/2017 , 08:45:00,562,562
360,24/11/2017 , 09:00:00,2047,2047
361,24/11/2017 , 09:15:00,1164,1164
362,24/11/2017 , 09:30:00,1337,1337
363,24/11/2017 , 09:45:00,1968,1968
364,24/11/2017 , 10:00:00,2348,2348
365,24/11/2017 , 10:15:00,2576,2576
366,24/11/2017 , 10:30:00,3223,3223
367,24/11/2017 , 10:45:00,3491,3491
368,24/11/2017 , 11:00:00,3822,3822
369,24/11/2017 , 11:15:00,3397,3397
370,24/11/2017 , 11:30:00,2306,2306
371,24/11/2017 , 11:45:00,2439,2439
372,24/11/2017 , 12:00:00,1804,1804
373,24/11/2017 , 12:15:00,2086,2086
374,24/11/2017 , 12:30:00,3422,3422
375,24/11/2017 , 12:45:00,2688,2688
376,24/11/2017 , 13:00:00,2392,2392
377,24/11/2017 , 13:15:00,2854,2854
378,24/11/2017 , 13:30:00,2425,2425
379,24/11/2017 , 13:45:00,2883,2883
380,24/11/2017 , 14:00:00,2131,2131
381,24/11/2017 , 14:15:00,1317,1317
382,24/11/2017 , 14:30:00,1429,1429
383,24/11/2017 , 14:45:00,1943,1943
384,24/11/2017 , 15:00:00,1461,1461
385,24/11/2017 , 15:15:00,950,950
386,24/11/2017 , 15:30:00,1553,1553
387,24/11/2017 , 15:45:00,1222,1222
388,24/11/2017 , 16:00:00,1370,1370
389,24/11/2017 , 16:15:00,962,962
390,24/11/2017 , 16:30:00,864,864
391,24/11/2017 , 16:45:00,460,460
392,24/11/2017 , 17:00:00,227,227
393,24/11/2017 , 17:15:00,207,207
394,24/11/2017 , 17:30:00,127,127
395,24/11/2017 , 17:45:00,40,40
396,24/11/2017 , 18:00:00,10,10
397,24/11/2017 , 18:15:00,0,0
398,24/11/2017 , 18:30:00,0,0
399,24/11/2017 , 18:45:00,0,0
400,24/11/2017 , 19:00:00,0,0
401,24/11/2017 , 19:15:00,0,0
402,24/11/2017 , 19:30:00,0,0
403,24/11/2017 , 19:45:00,0,0
