frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mix,mortality
34,60,T2,NA,High Shade,876,17,16,2.41242200936573,NA,D,NA,0
34,0,T0,NA,High Shade,876,17,16,2.4124582851691074,0.976802149593022,D,DC,0
34,31,T1,,High Shade,876,17,16,2.426705754987155,NA,D,NA,0
35,60,T2,NA,Natural,896,13,1,9.44366199434786,0.970552567912505,D,DC,0
35,0,T0,NA,Natural,896,13,1,7.639874953802903,0.975212922872978,D,DC,0
35,31,T1,,Natural,896,13,1,8.444816466557407,NA,D,NA,0
36,31,T1,,Low Shade,896,16,10,3.816025940073401,NA,D,NA,0
36,0,T0,NA,Low Shade,896,16,10,3.5267096829095137,0.979227167838283,D,DC,0
36,60,T2,NA,Low Shade,896,16,10,3.9695330053378863,0.9766049022578648,D,DC,0
37,60,T2,NA,Medium Shade,896,17,15,2.6227059455042454,0.9864044923082852,D,DC,0
37,0,T0,NA,Medium Shade,896,17,15,2.5580573157963764,0.985932075103172,D,DC,0
37,31,T1,,Medium Shade,896,17,15,2.6086943039968973,NA,D,NA,0
38,0,T0,NA,High Shade,896,14,7,4.169691330057166,0.9888831199758956,D,DC,0
38,31,T1,,High Shade,896,14,7,4.242615475541564,NA,D,NA,NA
38,60,T2,NA,High Shade,896,14,7,4.252658142817257,NA,D,NA,0
40,31,T1,,High Shade,871,16,12,3.399453107634895,NA,C,NA,0
40,0,T0,NA,High Shade,871,16,12,3.3770289455001694,0.1607530651637611,C,CD,0
40,60,T2,NA,High Shade,871,16,12,3.4073883034980175,NA,C,NA,0
41,0,T0,NA,Natural,871,17,13,1.033333426454173,0.08396683964360274,C,CD,0
41,31,T1,,Natural,871,17,13,1.085933149463479,NA,C,NA,0
41,60,T2,NA,Natural,871,17,13,1.1647849616363621,0.28145380377035545,C,CD,0
43,0,T0,NA,Natural,893,17,13,2.1556827612066294,0.14389474150345205,C,CD,0
43,31,T1,,Natural,893,17,13,2.1840065201175376,NA,C,NA,0
43,60,T2,NA,Natural,893,17,13,2.232504993815157,0.1811087717417764,C,CD,0
44,60,T2,NA,Low Shade,893,14,6,1.5287674452227036,0.3791727632176124,C,CD,0
44,0,T0,NA,Low Shade,893,14,6,1.5045200335139657,0.4676226113586809,C,CD,0
44,31,T1,,Low Shade,893,14,6,1.5167013563565295,NA,C,NA,0
45,60,T2,NA,Medium Shade,893,13,4,2.1799020967152276,NA,C,NA,0
45,0,T0,NA,Medium Shade,893,13,4,2.1758489432328747,0.16642265521563515,C,CD,0
45,31,T1,,Medium Shade,893,13,4,2.1799725097230955,NA,C,NA,0
46,0,T0,NA,High Shade,893,16,12,1.7147775967231516,0.18555187767950387,C,CD,0
46,60,T2,NA,High Shade,893,16,12,1.722905195377514,0.01948931514852103,C,CD,0
46,31,T1,,High Shade,893,16,12,1.7209607450058828,NA,C,NA,0
47,0,T0,NA,Natural,867B,14,5,3.8260391895047103,NA,D,NA,0
47,31,T1,,Natural,867B,14,5,3.8908356486941553,NA,D,NA,0
48,31,T1,,Low Shade,867B,17,14,4.349908389793028,NA,D,NA,15
48,60,T2,NA,Low Shade,867B,17,14,4.351730496702279,NA,D,NA,40
48,0,T0,NA,Low Shade,867B,17,14,4.311198905432778,0.9699231146158828,D,DC,5
