Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\mariah\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
B10,28,D,UNKNOWN,FAM,NFQ-MGB,25.41637421,25.39701462,0.027379941,,,,FALSE,0.01,FALSE,6,20,,N,N
B11,98,C,UNKNOWN,VIC,NFQ-MGB,29.02074242,28.85566139,0.23345983,,,,FALSE,0.01,FALSE,6,20,,N,Y
B11,98,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B12,98,C,UNKNOWN,VIC,NFQ-MGB,28.69058037,28.85566139,0.23345983,,,,FALSE,0.01,FALSE,6,20,,N,N
B12,98,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
C1,42 B,C,UNKNOWN,VIC,NFQ-MGB,25.10371208,25.02373314,0.113107309,,,,FALSE,0.01,FALSE,6,20,,N,Y
C1,42 B,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C2,42 B,C,UNKNOWN,VIC,NFQ-MGB,24.9437542,25.02373314,0.113107309,,,,FALSE,0.01,FALSE,6,20,,N,Y
C2,42 B,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C3,21 A,C,UNKNOWN,VIC,NFQ-MGB,30.78697205,30.52873993,0.365195364,,,,FALSE,0.01,FALSE,6,20,,N,Y
C3,21 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C4,21 A,C,UNKNOWN,VIC,NFQ-MGB,30.27050781,30.52873993,0.365195364,,,,FALSE,0.01,FALSE,6,20,,N,Y
C4,21 A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C5,5,C,UNKNOWN,VIC,NFQ-MGB,36.0250206,35.78783417,0.335434973,,,,FALSE,0.01,FALSE,6,20,,Y,N
C5,5,D,UNKNOWN,FAM,NFQ-MGB,33.70806503,33.29699707,0.581340611,,,,FALSE,0.01,FALSE,6,20,,Y,N
C6,5,C,UNKNOWN,VIC,NFQ-MGB,35.55064392,35.78783417,0.335434973,,,,FALSE,0.01,FALSE,6,20,,Y,N
C6,5,D,UNKNOWN,FAM,NFQ-MGB,32.88592529,33.29699707,0.581340611,,,,FALSE,0.01,FALSE,6,20,,Y,N
C7,7,C,UNKNOWN,VIC,NFQ-MGB,33.70257187,33.38314438,0.451738685,,,,FALSE,0.01,FALSE,6,20,,N,N
C7,7,D,UNKNOWN,FAM,NFQ-MGB,28.23515129,27.90192032,0.471261114,,,,FALSE,0.01,FALSE,6,20,,N,N
C8,7,C,UNKNOWN,VIC,NFQ-MGB,33.06371689,33.38314438,0.451738685,,,,FALSE,0.01,FALSE,6,20,,N,N
C8,7,D,UNKNOWN,FAM,NFQ-MGB,27.56868744,27.90192032,0.471261114,,,,FALSE,0.01,FALSE,6,20,,N,N
C9,97,C,UNKNOWN,VIC,NFQ-MGB,24.59126091,24.67868996,0.123643346,,,,FALSE,0.01,FALSE,6,20,,N,Y
C9,97,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C10,97,C,UNKNOWN,VIC,NFQ-MGB,24.766119,24.67868996,0.123643346,,,,FALSE,0.01,FALSE,6,20,,N,Y
C10,97,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C11,40,C,UNKNOWN,VIC,NFQ-MGB,23.72107124,23.78016472,0.083570793,,,,FALSE,0.01,FALSE,6,20,,N,N
C11,40,D,UNKNOWN,FAM,NFQ-MGB,27.25743484,27.35584641,0.139173612,,,,FALSE,0.01,FALSE,6,20,,N,N
C12,40,C,UNKNOWN,VIC,NFQ-MGB,23.83925819,23.78016472,0.083570793,,,,FALSE,0.01,FALSE,6,20,,N,N
C12,40,D,UNKNOWN,FAM,NFQ-MGB,27.45425606,27.35584641,0.139173612,,,,FALSE,0.01,FALSE,6,20,,N,N
D1,48,C,UNKNOWN,VIC,NFQ-MGB,28.04364014,28.31318665,0.381194979,,,,FALSE,0.01,FALSE,6,20,,N,N
