Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
B11,161,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B12,161,C,UNKNOWN,VIC,NFQ-MGB,23.96785545,23.94253922,0.035802569,,,,FALSE,0.01,FALSE,6,20,,N,Y
B12,161,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C1,122,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C1,122,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C2,122,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C2,122,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C3,121,C,UNKNOWN,VIC,NFQ-MGB,26.70316124,27.0524292,0.49394083,,,,FALSE,0.01,FALSE,6,20,,N,Y
C3,121,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C4,121,C,UNKNOWN,VIC,NFQ-MGB,27.40169907,27.0524292,0.49394083,,,,FALSE,0.01,FALSE,6,20,,N,Y
C4,121,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C5,103,C,UNKNOWN,VIC,NFQ-MGB,27.50297928,27.54668045,0.06180279,,,,FALSE,0.01,FALSE,6,20,,N,Y
C5,103,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C6,103,C,UNKNOWN,VIC,NFQ-MGB,27.59038162,27.54668045,0.06180279,,,,FALSE,0.01,FALSE,6,20,,N,Y
C6,103,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C7,149,C,UNKNOWN,VIC,NFQ-MGB,24.76844978,24.85720062,0.125511289,,,,FALSE,0.01,FALSE,6,20,,N,Y
C7,149,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C8,149,C,UNKNOWN,VIC,NFQ-MGB,24.94594955,24.85720062,0.125511289,,,,FALSE,0.01,FALSE,6,20,,N,Y
C8,149,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C9,151,C,UNKNOWN,VIC,NFQ-MGB,23.88392448,23.88260651,0.001862554,,,,FALSE,0.01,FALSE,6,20,,N,Y
C9,151,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C10,151,C,UNKNOWN,VIC,NFQ-MGB,23.88129044,23.88260651,0.001862554,,,,FALSE,0.01,FALSE,6,20,,N,Y
C10,151,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C11,190,C,UNKNOWN,VIC,NFQ-MGB,29.09749031,29.43977356,0.48406297,,,,FALSE,0.01,FALSE,6,20,,Y,N
C11,190,D,UNKNOWN,FAM,NFQ-MGB,37.07199478,36.52355194,0.775612593,,,,FALSE,0.01,FALSE,6,20,,Y,N
C12,190,C,UNKNOWN,VIC,NFQ-MGB,29.78205872,29.43977356,0.48406297,,,,FALSE,0.01,FALSE,6,20,,Y,N
C12,190,D,UNKNOWN,FAM,NFQ-MGB,35.97511292,36.52355194,0.775612593,,,,FALSE,0.01,FALSE,6,20,,Y,N
D1,132,C,UNKNOWN,VIC,NFQ-MGB,25.63680267,25.5024128,0.190055981,,,,FALSE,0.01,FALSE,6,20,,N,N
D1,132,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
D2,132,C,UNKNOWN,VIC,NFQ-MGB,25.36802292,25.5024128,0.190055981,,,,FALSE,0.01,FALSE,6,20,,N,Y
D2,132,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D3,148,C,UNKNOWN,VIC,NFQ-MGB,24.90300369,25.03609848,0.188223109,,,,FALSE,0.01,FALSE,6,20,,N,Y
D3,148,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D4,148,C,UNKNOWN,VIC,NFQ-MGB,25.16919136,25.03609848,0.188223109,,,,FALSE,0.01,FALSE,6,20,,N,Y
D4,148,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D5,112,C,UNKNOWN,VIC,NFQ-MGB,28.46324348,28.31180191,0.214169383,,,,FALSE,0.01,FALSE,6,20,,N,N
D5,112,D,UNKNOWN,FAM,NFQ-MGB,29.00592995,29.03649902,0.043229856,,,,FALSE,0.01,FALSE,6,20,,N,N
D6,112,C,UNKNOWN,VIC,NFQ-MGB,28.16036224,28.31180191,0.214169383,,,,FALSE,0.01,FALSE,6,20,,N,N
D6,112,D,UNKNOWN,FAM,NFQ-MGB,29.06706619,29.03649902,0.043229856,,,,FALSE,0.01,FALSE,6,20,,N,N
D7,108,C,UNKNOWN,VIC,NFQ-MGB,24.99754715,24.74732208,0.353870332,,,,FALSE,0.01,FALSE,6,20,,Y,N
D7,108,D,UNKNOWN,FAM,NFQ-MGB,33.06702423,34.17398834,1.565480947,,,,FALSE,0.01,FALSE,6,20,,Y,N
D8,108,C,UNKNOWN,VIC,NFQ-MGB,24.49709892,24.74732208,0.353870332,,,,FALSE,0.01,FALSE,6,20,,Y,N
D8,108,D,UNKNOWN,FAM,NFQ-MGB,35.28094864,34.17398834,1.565480947,,,,FALSE,0.01,FALSE,6,20,,Y,N
D9,105,C,UNKNOWN,VIC,NFQ-MGB,24.86341667,24.79907608,0.090991341,,,,FALSE,0.01,FALSE,6,20,,N,Y
D9,105,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.3599472,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D10,105,C,UNKNOWN,VIC,NFQ-MGB,24.73473549,24.79907608,0.090991341,,,,FALSE,0.01,FALSE,6,20,,N,N
D10,105,D,UNKNOWN,FAM,NFQ-MGB,35.3599472,35.3599472,,,,,FALSE,0.01,FALSE,6,20,,N,N
D11,189,C,UNKNOWN,VIC,NFQ-MGB,30.302145,30.54602814,0.344901472,,,,FALSE,0.01,FALSE,6,20,,N,Y
D11,189,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D12,189,C,UNKNOWN,VIC,NFQ-MGB,30.78990936,30.54602814,0.344901472,,,,FALSE,0.01,FALSE,6,20,,N,Y
D12,189,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E1,197,C,UNKNOWN,VIC,NFQ-MGB,29.46775818,28.88512039,0.823974252,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E1,197,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E2,197,C,UNKNOWN,VIC,NFQ-MGB,28.3024826,28.88512039,0.823974252,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E2,197,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
E3,120,C,UNKNOWN,VIC,NFQ-MGB,25.47277641,25.38272858,0.127346873,,,,FALSE,0.01,FALSE,6,20,,N,Y
E3,120,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E4,120,C,UNKNOWN,VIC,NFQ-MGB,25.29268074,25.38272858,0.127346873,,,,FALSE,0.01,FALSE,6,20,,N,Y
E4,120,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E5,136,C,UNKNOWN,VIC,NFQ-MGB,27.78556824,27.73080444,0.077446349,,,,FALSE,0.01,FALSE,6,20,,N,N
E5,136,D,UNKNOWN,FAM,NFQ-MGB,24.54061317,24.47827911,0.088152327,,,,FALSE,0.01,FALSE,6,20,,N,N
E6,136,C,UNKNOWN,VIC,NFQ-MGB,27.67604256,27.73080444,0.077446349,,,,FALSE,0.01,FALSE,6,20,,N,N
E6,136,D,UNKNOWN,FAM,NFQ-MGB,24.41594696,24.47827911,0.088152327,,,,FALSE,0.01,FALSE,6,20,,N,N
E7,106,C,UNKNOWN,VIC,NFQ-MGB,24.4746685,24.62392998,0.211087599,,,,FALSE,0.01,FALSE,6,20,,N,Y
E7,106,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E8,106,C,UNKNOWN,VIC,NFQ-MGB,24.77319145,24.62392998,0.211087599,,,,FALSE,0.01,FALSE,6,20,,N,Y
E8,106,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E9,162,C,UNKNOWN,VIC,NFQ-MGB,27.04141808,27.13659286,0.13459748,,,,FALSE,0.01,FALSE,6,20,,N,N
E9,162,D,UNKNOWN,FAM,NFQ-MGB,24.03296661,24.14434052,0.15750514,,,,FALSE,0.01,FALSE,6,20,,N,N
E10,162,C,UNKNOWN,VIC,NFQ-MGB,27.23176765,27.13659286,0.13459748,,,,FALSE,0.01,FALSE,6,20,,N,N
E10,162,D,UNKNOWN,FAM,NFQ-MGB,24.25571251,24.14434052,0.15750514,,,,FALSE,0.01,FALSE,6,20,,N,N
E11,188,C,UNKNOWN,VIC,NFQ-MGB,27.82371521,28.14250374,0.450835049,,,,FALSE,0.01,FALSE,6,20,,N,Y
E11,188,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
E12,188,C,UNKNOWN,VIC,NFQ-MGB,28.46129227,28.14250374,0.450835049,,,,FALSE,0.01,FALSE,6,20,,N,Y
E12,188,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F1,198,C,UNKNOWN,VIC,NFQ-MGB,24.7850132,24.72845078,0.079991348,,,,FALSE,0.01,FALSE,6,20,,N,N
F1,198,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
F2,198,C,UNKNOWN,VIC,NFQ-MGB,24.67188835,24.72845078,0.079991348,,,,FALSE,0.01,FALSE,6,20,,N,Y
F2,198,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F3,130,C,UNKNOWN,VIC,NFQ-MGB,24.96230888,24.83821869,0.175491378,,,,FALSE,0.01,FALSE,6,20,,N,Y
F3,130,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F4,130,C,UNKNOWN,VIC,NFQ-MGB,24.71412659,24.83821869,0.175491378,,,,FALSE,0.01,FALSE,6,20,,N,Y
F4,130,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F5,144,C,UNKNOWN,VIC,NFQ-MGB,24.84617996,24.89916611,0.074932374,,,,FALSE,0.01,FALSE,6,20,,N,Y
F5,144,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F6,144,C,UNKNOWN,VIC,NFQ-MGB,24.95215034,24.89916611,0.074932374,,,,FALSE,0.01,FALSE,6,20,,N,Y
F6,144,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F7,102,C,UNKNOWN,VIC,NFQ-MGB,26.05975723,26.18223381,0.173208043,,,,FALSE,0.01,FALSE,6,20,,N,Y
F7,102,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F8,102,C,UNKNOWN,VIC,NFQ-MGB,26.30471039,26.18223381,0.173208043,,,,FALSE,0.01,FALSE,6,20,,N,Y
F8,102,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F9,155,C,UNKNOWN,VIC,NFQ-MGB,25.2116909,25.34071732,0.182469562,,,,FALSE,0.01,FALSE,6,20,,N,Y
F9,155,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F10,155,C,UNKNOWN,VIC,NFQ-MGB,25.46974182,25.34071732,0.182469562,,,,FALSE,0.01,FALSE,6,20,,N,Y
F10,155,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F11,211,C,UNKNOWN,VIC,NFQ-MGB,26.72175217,27.03540039,0.443566918,,,,FALSE,0.01,FALSE,6,20,,N,Y
F11,211,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
F12,211,C,UNKNOWN,VIC,NFQ-MGB,27.34905052,27.03540039,0.443566918,,,,FALSE,0.01,FALSE,6,20,,N,Y
F12,211,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G1,186,C,UNKNOWN,VIC,NFQ-MGB,25.1050396,25.16320801,0.082261205,,,,FALSE,0.01,FALSE,6,20,,N,Y
G1,186,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G2,186,C,UNKNOWN,VIC,NFQ-MGB,25.22137451,25.16320801,0.082261205,,,,FALSE,0.01,FALSE,6,20,,N,Y
G2,186,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G3,123,C,UNKNOWN,VIC,NFQ-MGB,30.11811829,29.94557762,0.244009346,,,,FALSE,0.01,FALSE,6,20,,N,Y
G3,123,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G4,123,C,UNKNOWN,VIC,NFQ-MGB,29.77303696,29.94557762,0.244009346,,,,FALSE,0.01,FALSE,6,20,,N,Y
G4,123,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G5,137,C,UNKNOWN,VIC,NFQ-MGB,28.16638565,27.96331406,0.287186593,,,,FALSE,0.01,FALSE,6,20,,N,N
G5,137,D,UNKNOWN,FAM,NFQ-MGB,23.78915405,23.72518921,0.090458602,,,,FALSE,0.01,FALSE,6,20,,N,N
G6,137,C,UNKNOWN,VIC,NFQ-MGB,27.76024246,27.96331406,0.287186593,,,,FALSE,0.01,FALSE,6,20,,N,N
G6,137,D,UNKNOWN,FAM,NFQ-MGB,23.66122627,23.72518921,0.090458602,,,,FALSE,0.01,FALSE,6,20,,N,N
G7,154,C,UNKNOWN,VIC,NFQ-MGB,24.22134209,24.04417801,0.250546485,,,,FALSE,0.01,FALSE,6,20,,N,Y
G7,154,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G8,154,C,UNKNOWN,VIC,NFQ-MGB,23.86701584,24.04417801,0.250546485,,,,FALSE,0.01,FALSE,6,20,,N,Y
G8,154,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G9,196,C,UNKNOWN,VIC,NFQ-MGB,26.27324295,26.24729156,0.0367008,,,,FALSE,0.01,FALSE,6,20,,N,Y
G9,196,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G10,196,C,UNKNOWN,VIC,NFQ-MGB,26.22134018,26.24729156,0.0367008,,,,FALSE,0.01,FALSE,6,20,,N,Y
G10,196,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G11,101,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G11,101,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G12,101,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
G12,101,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
H1,,,,,,,,,,,,,,,,,,N,N
H2,153,C,UNKNOWN,VIC,NFQ-MGB,23.07567024,22.99624252,0.112327754,,,,FALSE,0.01,FALSE,6,20,,N,N
H2,153,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
H3,153,C,UNKNOWN,VIC,NFQ-MGB,22.9168148,22.99624252,0.112327754,,,,FALSE,0.01,FALSE,6,20,,N,N
H3,153,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
H4,119,C,UNKNOWN,VIC,NFQ-MGB,25.77843475,25.79587555,0.024665009,,,,FALSE,0.01,FALSE,6,20,,N,N
H4,119,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
H5,119,C,UNKNOWN,VIC,NFQ-MGB,25.81331635,25.79587555,0.024665009,,,,FALSE,0.01,FALSE,6,20,,N,Y
H5,119,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
H6,156,C,UNKNOWN,VIC,NFQ-MGB,26.33683395,26.2514267,0.120785452,,,,FALSE,0.01,FALSE,6,20,,N,Y
