frag.id,mass.g,temp.c,date,days,time.point,notes
107,1.461,24.595,Nov-29-2017,31,T1,
238,2.814,24.649,Nov-29-2017,31,T1,
230,1.178,24.622,Nov-29-2017,31,T1,
198,1.317,24.623,Nov-29-2017,31,T1,
35,4.176,24.621,Nov-29-2017,31,T1,
124,2.032,24.622,Nov-29-2017,31,T1,
83,2.312,24.599,Nov-29-2017,31,T1,
6,1.838,24.613,Nov-29-2017,30,T1,
251,2.061,24.619,Nov-29-2017,31,T1,
20,1.369,24.638,Nov-29-2017,31,T1,
280,2.004,24.571,Nov-29-2017,31,T1,
74,1.291,24.555,Nov-29-2017,31,T1,
123,1.347,24.605,Nov-29-2017,31,T1,
257,2.929,24.483,Nov-29-2017,30,T1,
195,1.579,24.504,Nov-29-2017,31,T1,
236,2.703,24.532,Nov-29-2017,31,T1,
118,0.504,24.519,Nov-29-2017,31,T1,
69,2.326,24.49,Nov-29-2017,31,T1,
275,1.876,24.452,Nov-29-2017,31,T1,
1,1.249,24.469,Nov-29-2017,31,T1,
135,0.854,24.443,Nov-29-2017,31,T1,
203,3.712,24.42,Nov-29-2017,31,T1,
110,1.719,24.417,Nov-29-2017,31,T1,
64,1.494,24.422,Nov-29-2017,31,T1,
45,1.078,24.379,Nov-29-2017,31,T1,
217,1.902,24.386,Nov-29-2017,31,T1,
224,2.868,24.387,Nov-29-2017,31,T1,
120,1.037,24.359,Nov-29-2017,31,T1,
268,2.028,24.342,Nov-29-2017,30,T1,
33,1.776,24.298,Nov-29-2017,31,T1,
115,3.526,24.331,Nov-29-2017,31,T1,
159,1.94,24.291,Nov-29-2017,31,T1,
262,1.606,24.267,Nov-29-2017,30,T1,
27,1.807,24.249,Nov-29-2017,31,T1,
85,2.831,24.258,Nov-29-2017,31,T1,
132,2.248,24.245,Nov-29-2017,31,T1,
249,1.315,24.234,Nov-29-2017,31,T1,
157,1.71,24.201,Nov-29-2017,30,T1,
12,1.144,24.168,Nov-29-2017,31,T1,dead
17,4.364,24.169,Nov-29-2017,31,T1,
101,2.265,24.144,Nov-29-2017,31,T1,
59,1.681,24.06,Nov-29-2017,31,T1,
218,1.908,24.081,Nov-29-2017,31,T1,
141,0.943,24.114,Nov-29-2017,31,T1,
276,1.094,24.084,Nov-29-2017,31,T1,95% dead
50,1.891,24.036,Nov-29-2017,31,T1,90% dead
149,1.086,24.044,Nov-29-2017,30,T1,
76,2.78,24.037,Nov-29-2017,31,T1,
245,2.633,24.02,Nov-29-2017,31,T1,
186,0.848,24.014,Nov-29-2017,31,T1,
109,2.668,23.949,Nov-29-2017,31,T1,
26,1.106,23.965,Nov-29-2017,31,T1,
237,4.99,23.969,Nov-29-2017,31,T1,
14,2.788,23.975,Nov-29-2017,30,T1,
210,1.559,23.943,Nov-29-2017,31,T1,
221,2.148,23.905,Nov-29-2017,31,T1,
56,4.067,23.866,Nov-29-2017,31,T1,
75,1.922,23.851,Nov-29-2017,31,T1,
138,1.982,23.933,Nov-29-2017,31,T1,
47,1.924,23.847,Nov-29-2017,31,T1,
242,1.162,23.823,Nov-29-2017,30,T1,
261,4.109,23.797,Nov-29-2017,30,T1,
131,3.967,23.852,Nov-29-2017,31,T1,
32,1.214,23.829,Nov-29-2017,30,T1,
13,2.04,23.799,Nov-29-2017,31,T1,
160,1.693,23.803,Nov-29-2017,31,T1,
208,6.517,23.796,Nov-29-2017,31,T1,
114,0.686,23.788,Nov-29-2017,31,T1,
278,0.906,23.761,Nov-29-2017,31,T1,
248,3.205,23.735,Nov-29-2017,31,T1,
44,0.75,23.752,Nov-29-2017,31,T1,
82,2.78,23.746,Nov-29-2017,31,T1,70% dead
105,2.214,23.726,Nov-29-2017,31,T1,
223,1.977,23.676,Nov-29-2017,31,T1,
73,4.578,23.695,Nov-29-2017,31,T1,
204,2.225,23.697,Nov-29-2017,31,T1,
79,1.692,23.67,Nov-29-2017,31,T1,
51,2.624,23.652,Nov-29-2017,31,T1,
126,2.288,23.655,Nov-29-2017,31,T1,
150,1.093,23.634,Nov-29-2017,30,T1,
9,1.268,23.596,Nov-29-2017,31,T1,
241,2.537,23.594,Nov-29-2017,31,T1,
258,2.634,23.592,Nov-29-2017,30,T1,
271,2.722,23.597,Nov-29-2017,30,T1,
136,0.516,23.587,Nov-29-2017,31,T1,
272,1.884,23.57,Nov-29-2017,31,T1,
154,2.197,23.561,Nov-29-2017,30,T1,
104,2.02,23.524,Nov-29-2017,31,T1,
232,2.535,24.827,Nov-29-2017,31,T1,
3,1.198,24.818,Nov-29-2017,31,T1,25% dead
229,1.751,24.81,Nov-29-2017,31,T1,
89,1.097,24.798,Nov-29-2017,31,T1,
97,2.256,24.78,Nov-29-2017,31,T1,90% dead
38,2.098,24.768,Nov-29-2017,31,T1,
86,3.887,24.775,Nov-29-2017,31,T1,
129,0.956,24.784,Nov-29-2017,31,T1,
201,1.655,24.769,Nov-29-2017,31,T1,
254,2.09,24.763,Nov-29-2017,31,T1,
117,2.011,24.74,Nov-29-2017,31,T1,
70,3.575,24.714,Nov-29-2017,31,T1,
41,0.537,24.709,Nov-29-2017,31,T1,
130,1.379,24.698,Nov-29-2017,31,T1,
2,1.334,24.686,Nov-29-2017,31,T1,95% dead
11,2.422,24.616,Nov-29-2017,31,T1,
247,2.063,24.656,Nov-29-2017,31,T1,
161,1.452,24.639,Nov-29-2017,31,T1,
279,1.536,24.63,Nov-29-2017,31,T1,
113,2.42,24.62,Nov-29-2017,31,T1,
148,1.073,24.615,Nov-29-2017,30,T1,
222,3.312,24.564,Nov-29-2017,31,T1,
260,1.907,24.579,Nov-29-2017,30,T1,
43,1.08,24.578,Nov-29-2017,31,T1,
55,1.121,24.538,Nov-29-2017,31,T1,
84,2.741,24.544,Nov-29-2017,31,T1,
243,1.284,24.524,Nov-29-2017,30,T1,
15,2.66,24.501,Nov-29-2017,31,T1,
270,1.622,24.484,Nov-29-2017,30,T1,
247,1.615,24.46,Nov-29-2017,31,T1,
155,1.781,24.448,Nov-29-2017,30,T1,
139,1.71,24.429,Nov-29-2017,31,T1,
57,0.82,24.421,Nov-29-2017,31,T1,
142,1.726,24.408,Nov-29-2017,31,T1,
103,1.296,24.382,Nov-29-2017,31,T1,
7,2.833,24.371,Nov-29-2017,31,T1,
233,2.085,24.361,Nov-29-2017,31,T1,
88,2.168,24.316,Nov-29-2017,31,T1,
81,1.559,24.319,Nov-29-2017,31,T1,
21,2.355,24.3,Nov-29-2017,31,T1,70% dead
288,3.048,24.289,Nov-29-2017,31,T1,
37,1.29,24.262,Nov-29-2017,31,T1,
200,2.228,24.233,Nov-29-2017,31,T1,
219,2.368,24.233,Nov-29-2017,31,T1,
128,2.072,24.213,Nov-29-2017,31,T1,
111,2.357,24.18,Nov-29-2017,31,T1,
4,1.05,24.171,Nov-29-2017,31,T1,
24,2.659,24.151,Nov-29-2017,31,T1,
192,2.296,24.127,Nov-29-2017,30,T1,
144,0.719,24.136,Nov-29-2017,31,T1,
112,1.319,24.126,Nov-29-2017,31,T1,
273,3.076,24.112,Nov-29-2017,30,T1,
80,1.255,"24,087",Nov-29-2017,31,T1,
