frag.id,mass.g,temp.c,date,days,time.point,notes
10,3.434,25.369,Jan-8-2018,60,T2,
16,2.133,25.59,Jan-8-2018,60,T2,
21,2.366,26.636,Jan-8-2018,60,T2,
24,2.663,26.664,Jan-8-2018,60,T2,
27,1.806,25.707,Jan-8-2018,60,T2,
33,1.778,25.72,Jan-8-2018,60,T2,
37,1.297,26.542,Jan-8-2018,60,T2,
45,1.078,25.72,Jan-8-2018,60,T2,
49,1.674,25.604,Jan-8-2018,60,T2,
51,2.628,25.56,Jan-8-2018,60,T2,
54,1.479,25.388,Jan-8-2018,60,T2,
58,1.081,25.588,Jan-8-2018,60,T2,
79,1.695,25.517,Jan-8-2018,60,T2,
81,1.565,26.638,Jan-8-2018,60,T2,
85,2.831,25.656,Jan-8-2018,60,T2,
198,1.385,25.192,Jan-8-2018,60,T2,
202,1.796,25.626,Jan-8-2018,60,T2,
210,1.638,25.701,Jan-8-2018,60,T2,
221,2.202,25.689,Jan-8-2018,60,T2,
222,3.456,25.283,Jan-8-2018,60,T2,
230,1.302,25.207,Jan-8-2018,60,T2,
237,5.368,25.75,Jan-8-2018,60,T2,
238,3.092,25.251,Jan-8-2018,60,T2,
242,1.256,25.738,Jan-8-2018,60,T2,
247,2.122,25.199,Jan-8-2018,60,T2,
251,2.267,25.256,Jan-8-2018,60,T2,
256,1.823,25.637,Jan-8-2018,60,T2,
260,2.058,25.3,Jan-8-2018,60,T2,
269,1.909,25.65,Jan-8-2018,60,T2,
274,4.216,25.645,Jan-8-2018,60,T2,
279,1.756,25.322,Jan-8-2018,60,T2,
280,2.191,25234,Jan-8-2018,60,T2,
74,1.454,25.257,Jan-8-2018,60,T2,
102,1.988,25.62,Jan-8-2018,60,T2,
107,1.608,25.223,Jan-8-2018,60,T2,
109,2.706,25.742,Jan-8-2018,60,T2,
113,2.781,25.179,Jan-8-2018,60,T2,
117,2.167,25.21,Jan-8-2018,60,T2,
123,1.416,25.186,Jan-8-2018,60,T2,
124,2.25,25.239,Jan-8-2018,60,T2,
126,2.32,25.559,Jan-8-2018,60,T2,
130,1.433,25.186,Jan-8-2018,60,T2,
134,1.775,25.634,Jan-8-2018,60,T2,
138,2.106,25.674,Jan-8-2018,60,T2,
148,1.201,25.175,Jan-8-2018,60,T2,
156,3.191,25.654,Jan-8-2018,60,T2,
161,1.563,25.267,Jan-8-2018,60,T2,
186,0.884,25.712,Jan-8-2018,60,T2,
191,2.949,25.627,Jan-8-2018,60,T2,
6,1.278,25.478,Jan-8-2018,60,T2,
11,2.46,25.231,Jan-8-2018,60,T2,
14,3.009,25.69,Jan-8-2018,60,T2,
20,1.406,25.264,Jan-8-2018,60,T2,
26,1.146,25.781,Jan-8-2018,60,T2,
31,2.934,25.641,Jan-8-2018,60,T2,
35,4.67,25.211,Jan-8-2018,60,T2,
41,0.576,25.238,Jan-8-2018,60,T2,
43,1.104,25.229,Jan-8-2018,60,T2,
47,2.137,25.168,Jan-8-2018,60,T2,
53,1.776,25.645,Jan-8-2018,60,T2,
56,4.116,25.703,Jan-8-2018,60,T2,
70,3.918,25.335,Jan-8-2018,60,T2,
75,1.968,25.719,Jan-8-2018,60,T2,
78,2.943,25.661,Jan-8-2018,60,T2,
83,2.528,25.192,Jan-8-2018,60,T2,
