Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\mariah\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
B11,71,C,UNKNOWN,VIC,NFQ-MGB,34.99910355,36.91556549,2.710283756,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B11,71,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B12,71,C,UNKNOWN,VIC,NFQ-MGB,38.83202362,36.91556549,2.710283756,,,,FALSE,0.01,FALSE,6,20,,Y,N
B12,71,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,N
C1,73,C,UNKNOWN,VIC,NFQ-MGB,39.95504379,39.54922485,0.573914647,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C1,73,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C2,73,C,UNKNOWN,VIC,NFQ-MGB,39.14340591,39.54922485,0.573914647,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C2,73,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C3,270,C,UNKNOWN,VIC,NFQ-MGB,25.62285233,25.62190628,0.001339258,,,,FALSE,0.01,FALSE,6,20,,N,Y
C3,270,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C4,270,C,UNKNOWN,VIC,NFQ-MGB,25.62095833,25.62190628,0.001339258,,,,FALSE,0.01,FALSE,6,20,,N,Y
C4,270,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C5,262,C,UNKNOWN,VIC,NFQ-MGB,24.43896294,24.67130852,0.32858628,,,,FALSE,0.01,FALSE,6,20,,N,Y
C5,262,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C6,262,C,UNKNOWN,VIC,NFQ-MGB,24.9036541,24.67130852,0.32858628,,,,FALSE,0.01,FALSE,6,20,,N,Y
C6,262,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C7,266,C,UNKNOWN,VIC,NFQ-MGB,30.81443214,30.28040695,0.755227029,,,,FALSE,0.01,FALSE,6,20,,Y,N
C7,266,D,UNKNOWN,FAM,NFQ-MGB,26.11801147,25.76897049,0.493618488,,,,FALSE,0.01,FALSE,6,20,,Y,N
C8,266,C,UNKNOWN,VIC,NFQ-MGB,29.74637985,30.28040695,0.755227029,,,,FALSE,0.01,FALSE,6,20,,Y,N
C8,266,D,UNKNOWN,FAM,NFQ-MGB,25.4199295,25.76897049,0.493618488,,,,FALSE,0.01,FALSE,6,20,,Y,N
C9,256,C,UNKNOWN,VIC,NFQ-MGB,25.40889168,25.22258568,0.263476461,,,,FALSE,0.01,FALSE,6,20,,N,Y
C9,256,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C10,256,C,UNKNOWN,VIC,NFQ-MGB,25.03627968,25.22258568,0.263476461,,,,FALSE,0.01,FALSE,6,20,,N,Y
C10,256,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C11,227,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C11,227,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C12,227,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
C12,227,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
