Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\urop20170913RUN.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,NOAMP,NOISE
F7,896,C,UNKNOWN,VIC,NFQ-MGB,34.18280411,34.18280411,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F7,896,D,UNKNOWN,FAM,NFQ-MGB,29.13732719,29.13732719,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F8,904,C,UNKNOWN,VIC,NFQ-MGB,30.76849365,30.76849365,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F8,904,D,UNKNOWN,FAM,NFQ-MGB,26.6609745,26.6609745,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
F9,,,,,,,,,,,,,,,,,,N,N,N
F10,,,,,,,,,,,,,,,,,,N,N,N
F11,,,,,,,,,,,,,,,,,,N,N,N
F12,,,,,,,,,,,,,,,,,,N,N,N
G1,,,,,,,,,,,,,,,,,,N,N,N
G2,857,C,UNKNOWN,VIC,NFQ-MGB,25.45433235,25.45433235,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
G2,857,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
G3,865,C,UNKNOWN,VIC,NFQ-MGB,33.4491272,33.4491272,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
G3,865,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
G4,873,C,UNKNOWN,VIC,NFQ-MGB,25.82082367,25.82082367,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
G4,873,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
G5,881,C,UNKNOWN,VIC,NFQ-MGB,29.14172935,29.14172935,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
G5,881,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
G6,889,C,UNKNOWN,VIC,NFQ-MGB,38.52010345,38.52010345,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
G6,889,D,UNKNOWN,FAM,NFQ-MGB,34.33181381,34.33181381,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
G7,897,C,UNKNOWN,VIC,NFQ-MGB,34.23983765,34.23983765,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
G7,897,D,UNKNOWN,FAM,NFQ-MGB,29.86552238,29.86552238,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
G8,905,C,UNKNOWN,VIC,NFQ-MGB,28.79009247,28.79009247,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
G8,905,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
G9,,,,,,,,,,,,,,,,,,N,N,N
G10,,,,,,,,,,,,,,,,,,N,N,N
G11,,,,,,,,,,,,,,,,,,N,N,N
G12,,,,,,,,,,,,,,,,,,N,N,N
H1,,,,,,,,,,,,,,,,,,N,N,N
H2,858,C,UNKNOWN,VIC,NFQ-MGB,25.53276062,25.53276062,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
H2,858,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
H3,866,C,UNKNOWN,VIC,NFQ-MGB,26.9618988,26.9618988,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
H3,866,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
H4,874,C,UNKNOWN,VIC,NFQ-MGB,26.89763069,26.89763069,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
H4,874,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
H5,882,C,UNKNOWN,VIC,NFQ-MGB,29.70267296,29.70267296,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
H5,882,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
H6,890,C,UNKNOWN,VIC,NFQ-MGB,28.79784012,28.79784012,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
H6,890,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,N,Y,N
H7,898,C,UNKNOWN,VIC,NFQ-MGB,33.23477554,33.23477554,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
H7,898,D,UNKNOWN,FAM,NFQ-MGB,28.86847687,28.86847687,,,,,FALSE,0.01,FALSE,5,25,,N,N,N
H8,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,Y,N,Y
H8,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,5,25,,Y,N,Y
H9,,,,,,,,,,,,,,,,,,N,N,N
H10,,,,,,,,,,,,,,,,,,N,N,N
H11,,,,,,,,,,,,,,,,,,N,N,N
H12,,,,,,,,,,,,,,,,,,N,N,N
