Sample.Name,File.Name,C.CT.mean,D.CT.mean,C.CT.sd,D.CT.sd,C.reps,D.reps,C.D,fail,propC,propD,Dom,Mix,time
10,UROP_Time1_1.csv,28.370751985,25.831336975,0.30946441304495104,0.12141258899531135,2,2,0.015637496496225117,FALSE,0.015396730181951526,0.9846032698180485,D,DC,Time1
104,UROP_Time1_1.csv,23.511525755,NaN,0.7039292483728603,NA,2,0,Inf,FALSE,1,0,C,C,Time1
107,UROP_Time1_1.csv,24.97003711,NaN,0.25662777508016305,NA,2,0,Inf,FALSE,1,0,C,C,Time1
109,UROP_Time1_1.csv,27.85610259,33.30644035500001,0.05446451798323235,0.5978270838962261,2,2,3.9748657824338283,FALSE,0.7989895519330423,0.20101044806695767,C,CD,Time1
11,UROP_Time1_1.csv,27.490856774999997,24.742706300000002,0.447758674395278,0.35941483911883537,2,2,0.013531052817029293,FALSE,0.013350407744706787,0.9866495922552933,D,DC,Time1
111,UROP_Time1_1.csv,24.512857085,28.425992965,0.19825068678420188,0.24511527765178368,2,2,1.3695522061304262,FALSE,0.5779793340645404,0.4220206659354596,C,CD,Time1
114,UROP_Time1_1.csv,24.614198334999998,NaN,0.052806967764251415,NA,2,0,Inf,FALSE,1,0,C,C,Time1
115,UROP_Time1_1.csv,30.94034541,NaN,1.2028481307628907,NA,2,0,Inf,FALSE,1,0,C,C,Time1
118,UROP_Time1_1.csv,31.309880859999993,NaN,0.391613681791216,NA,2,0,Inf,FALSE,1,0,C,C,Time1
124,UROP_Time1_1.csv,23.32421745,NaN,0.2038841994388472,NA,2,0,Inf,FALSE,1,0,C,C,Time1
13,UROP_Time1_1.csv,26.686668044999998,24.926485065,0.17696551402041702,0.01003702013448303,2,2,0.026837338254156254,FALSE,0.026135919735627736,0.9738640802643722,D,DC,Time1
131,UROP_Time1_1.csv,21.534643775,NaN,0.3032617430710638,NA,2,0,Inf,FALSE,1,0,C,C,Time1
133,UROP_Time1_1.csv,21.500958089999997,NaN,0.22092636381998615,NA,2,0,Inf,FALSE,1,0,C,C,Time1
134,UROP_Time1_1.csv,27.046875604999997,25.836107255,0.29394763355432146,0.0968069276398883,2,2,0.039276223589596364,FALSE,0.037791900457357426,0.9622080995426425,D,DC,Time1
14,UROP_Time1_1.csv,25.191232335,NaN,0.22328523668668812,NA,2,0,Inf,FALSE,1,0,C,C,Time1
141,UROP_Time1_1.csv,22.926849015,NaN,0.12796188271333986,NA,2,0,Inf,FALSE,1,0,C,C,Time1
147,UROP_Time1_1.csv,23.872601154999998,NaN,0.14671284134189427,NA,2,0,Inf,FALSE,1,0,C,C,Time1
150,UROP_Time1_1.csv,21.22382701,34.40019989,0.21485316509773233,NA,2,1,Inf,FALSE,1,0,C,C,Time1
157,UROP_Time1_1.csv,21.914610515,NaN,0.21984200849997015,NA,2,0,Inf,FALSE,1,0,C,C,Time1
159,UROP_Time1_1.csv,20.458186755,NaN,0.0661024420124587,NA,2,0,Inf,FALSE,1,0,C,C,Time1
16,UROP_Time1_1.csv,26.004456169999997,NaN,0.5237443903147868,NA,2,0,Inf,FALSE,1,0,C,C,Time1
160,UROP_Time1_1.csv,32.57889522,NaN,2.22846909678311,NA,2,0,Inf,FALSE,1,0,C,C,Time1
17,UROP_Time1_1.csv,22.395437845,NaN,0.09007826921574257,NA,2,0,Inf,FALSE,1,0,C,C,Time1
