Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\mariah\MO_UROPapril3.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
B10,17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
B11,16,C,UNKNOWN,VIC,NFQ-MGB,27.90211296,28.27245712,0.523744404,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B11,16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B12,16,C,UNKNOWN,VIC,NFQ-MGB,28.64279938,28.27245712,0.523744404,,,,FALSE,0.01,FALSE,6,20,,Y,Y
B12,16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C1,11,C,UNKNOWN,VIC,NFQ-MGB,30.07546997,29.75885773,0.447758675,,,,FALSE,0.01,FALSE,6,20,,N,N
C1,11,D,UNKNOWN,FAM,NFQ-MGB,24.99685097,24.7427063,0.359414846,,,,FALSE,0.01,FALSE,6,20,,N,N
C2,11,C,UNKNOWN,VIC,NFQ-MGB,29.44224358,29.75885773,0.447758675,,,,FALSE,0.01,FALSE,6,20,,N,N
C2,11,D,UNKNOWN,FAM,NFQ-MGB,24.48856163,24.7427063,0.359414846,,,,FALSE,0.01,FALSE,6,20,,N,N
C3,10,C,UNKNOWN,VIC,NFQ-MGB,30.85757637,30.63875198,0.309464425,,,,FALSE,0.01,FALSE,6,20,,N,N
C3,10,D,UNKNOWN,FAM,NFQ-MGB,25.74548531,25.83133698,0.121412598,,,,FALSE,0.01,FALSE,6,20,,N,N
C4,10,C,UNKNOWN,VIC,NFQ-MGB,30.4199276,30.63875198,0.309464425,,,,FALSE,0.01,FALSE,6,20,,N,N
C4,10,D,UNKNOWN,FAM,NFQ-MGB,25.91718864,25.83133698,0.121412598,,,,FALSE,0.01,FALSE,6,20,,N,N
C5,64,C,UNKNOWN,VIC,NFQ-MGB,32.90393829,32.81283569,0.128838539,,,,FALSE,0.01,FALSE,6,20,,N,N
C5,64,D,UNKNOWN,FAM,NFQ-MGB,27.67568588,27.88074303,0.289994597,,,,FALSE,0.01,FALSE,6,20,,N,N
C6,64,C,UNKNOWN,VIC,NFQ-MGB,32.72173309,32.81283569,0.128838539,,,,FALSE,0.01,FALSE,6,20,,N,N
C6,64,D,UNKNOWN,FAM,NFQ-MGB,28.08580017,27.88074303,0.289994597,,,,FALSE,0.01,FALSE,6,20,,N,N
C7,70,C,UNKNOWN,VIC,NFQ-MGB,29.51894569,29.69350052,0.246857807,,,,FALSE,0.01,FALSE,6,20,,N,N
C7,70,D,UNKNOWN,FAM,NFQ-MGB,25.22676277,25.40758324,0.255718768,,,,FALSE,0.01,FALSE,6,20,,N,N
C8,70,C,UNKNOWN,VIC,NFQ-MGB,29.86805534,29.69350052,0.246857807,,,,FALSE,0.01,FALSE,6,20,,N,N
C8,70,D,UNKNOWN,FAM,NFQ-MGB,25.5884037,25.40758324,0.255718768,,,,FALSE,0.01,FALSE,6,20,,N,N
C9,104,C,UNKNOWN,VIC,NFQ-MGB,26.2772789,25.77952576,0.703929245,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C9,104,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C10,104,C,UNKNOWN,VIC,NFQ-MGB,25.28177261,25.77952576,0.703929245,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C10,104,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
C11,111,C,UNKNOWN,VIC,NFQ-MGB,26.92104149,26.78085709,0.198250681,,,,FALSE,0.01,FALSE,6,20,,N,N
C11,111,D,UNKNOWN,FAM,NFQ-MGB,28.59931564,28.42599297,0.24511528,,,,FALSE,0.01,FALSE,6,20,,N,N
C12,111,C,UNKNOWN,VIC,NFQ-MGB,26.64067268,26.78085709,0.198250681,,,,FALSE,0.01,FALSE,6,20,,N,N
C12,111,D,UNKNOWN,FAM,NFQ-MGB,28.25267029,28.42599297,0.24511528,,,,FALSE,0.01,FALSE,6,20,,N,N
D1,114,C,UNKNOWN,VIC,NFQ-MGB,26.9195385,26.88219833,0.052806966,,,,FALSE,0.01,FALSE,6,20,,N,N
D1,114,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,N
D2,114,C,UNKNOWN,VIC,NFQ-MGB,26.84485817,26.88219833,0.052806966,,,,FALSE,0.01,FALSE,6,20,,N,Y
D2,114,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D3,110,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.03776169,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D3,110,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D4,110,C,UNKNOWN,VIC,NFQ-MGB,39.03776169,39.03776169,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D4,110,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D5,109,C,UNKNOWN,VIC,NFQ-MGB,30.16261482,30.12410355,0.054464519,,,,FALSE,0.01,FALSE,6,20,,Y,N
D5,109,D,UNKNOWN,FAM,NFQ-MGB,32.88371277,33.30644226,0.597827077,,,,FALSE,0.01,FALSE,6,20,,Y,N
D6,109,C,UNKNOWN,VIC,NFQ-MGB,30.08559036,30.12410355,0.054464519,,,,FALSE,0.01,FALSE,6,20,,Y,N
D6,109,D,UNKNOWN,FAM,NFQ-MGB,33.72916794,33.30644226,0.597827077,,,,FALSE,0.01,FALSE,6,20,,Y,N
D7,147,C,UNKNOWN,VIC,NFQ-MGB,26.2443428,26.14060211,0.14671284,,,,FALSE,0.01,FALSE,6,20,,N,Y
D7,147,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D8,147,C,UNKNOWN,VIC,NFQ-MGB,26.03685951,26.14060211,0.14671284,,,,FALSE,0.01,FALSE,6,20,,N,Y
D8,147,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
D9,115,C,UNKNOWN,VIC,NFQ-MGB,32.35780334,33.20834351,1.202848077,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D9,115,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D10,115,C,UNKNOWN,VIC,NFQ-MGB,34.05888748,33.20834351,1.202848077,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D10,115,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,Y,Y
D11,157,C,UNKNOWN,VIC,NFQ-MGB,24.02715874,24.18260956,0.219842002,,,,FALSE,0.01,FALSE,6,20,,N,Y
D11,157,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y
