frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mortality,mort.bin,dli
43,60,T2,NA,Natural,893,17,13,2.232504994,0.181108772,C,0,1,3.470265788
44,60,T2,NA,Low Shade,893,14,6,1.528767445,0.379172763,C,0,1,1.420391927
45,60,T2,NA,Medium Shade,893,13,4,2.179902097,NA,C,0,1,0.673574649
46,60,T2,NA,High Shade,893,16,12,1.722905195,0.019489315,C,0,1,0.330656405
48,60,T2,NA,Low Shade,867B,17,14,4.351730497,NA,D,40,2,1.420391927
50,60,T2,NA,High Shade,867B,13,3,3.872461242,NA,D,90,4,0.330656405
52,60,T2,NA,High Shade,912,17,16,5.425411506,NA,D,100,4,0.330656405
53,60,T2,NA,Natural,912,16,9,3.591385083,0.979848207,D,0,1,3.470265788
54,60,T2,NA,Medium Shade,916,16,11,2.990817245,0.980462412,D,0,1,0.673574649
55,60,T2,NA,Low Shade,916,17,14,2.293088939,0.97755766,D,0,1,1.420391927
56,60,T2,NA,Natural,916,14,5,8.32326596,NA,D,0,1,3.470265788
57,60,T2,NA,Low Shade,909,17,14,1.668252052,NA,D,20,1,1.420391927
58,60,T2,NA,Medium Shade,909,16,11,2.185975567,NA,D,0,1,0.673574649
59,60,T2,NA,High Shade,909,13,3,5.376955861,NA,D,100,4,0.330656405
64,60,T2,NA,Low Shade,912,13,2,3.089923998,NA,D,10,1,1.420391927
68,60,T2,NA,High Shade,911,16,12,3.201125806,0.961240687,D,25,2,0.330656405
69,60,T2,NA,Low Shade,910,13,2,4.774417216,0.976778606,D,0,1,1.420391927
73,60,T2,NA,Low Shade,919,14,6,9.433454191,0,C,25,2,1.420391927
74,60,T2,NA,Natural,920,13,1,2.940271804,0.041471963,C,0,1,3.470265788
75,60,T2,NA,Natural,909,14,5,3.979635835,0.977525863,D,0,1,3.470265788
76,60,T2,NA,High Shade,916,13,3,5.621638696,NA,D,25,2,0.330656405
78,60,T2,NA,Natural,910,16,9,5.951262515,0.969614883,D,0,1,3.470265788
79,60,T2,NA,Medium Shade,910,14,8,3.427599375,0.95733631,D,0,1,0.673574649
80,60,T2,NA,High Shade,910,17,16,2.535775454,NA,D,15,1,0.330656405
81,60,T2,NA,Medium Shade,911,17,15,3.164630151,NA,D,15,1,0.673574649
82,60,T2,NA,Low Shade,911,14,6,5.654011706,0.978843314,D,80,4,1.420391927
83,60,T2,NA,Natural,911,13,1,5.112117441,1,D,0,1,3.470265788
84,60,T2,NA,Low Shade,922,16,10,5.587128591,NA,D,0,1,1.420391927
85,60,T2,NA,Medium Shade,922,13,4,5.724779548,0.966428359,D,25,2,0.673574649
86,60,T2,NA,High Shade,922,14,7,7.840029592,NA,D,100,4,0.330656405
87,60,T2,NA,Low Shade,920,16,10,3.4983702,NA,C,0,1,1.420391927
88,60,T2,NA,Medium Shade,920,17,15,4.430477085,NA,C,0,1,0.673574649
89,60,T2,NA,High Shade,920,14,7,2.22036791,0,C,0,1,0.330656405
97,60,T2,NA,High Shade,894B,14,7,4.600478316,NA,C,NA,,0.330656405
101,60,T2,NA,High Shade,873,13,3,4.584265687,NA,C,0,1,0.330656405
102,60,T2,NA,Natural,873,16,9,4.020088878,0,C,0,1,3.470265788
103,60,T2,NA,Low Shade,873,17,14,2.640895016,NA,C,0,1,1.420391927
104,60,T2,NA,Medium Shade,873,14,8,4.084807022,0,C,0,1,0.673574649
105,60,T2,NA,Low Shade,881,14,6,4.515523563,0,C,0,1,1.420391927
106,60,T2,NA,Medium Shade,881,16,11,1.753237864,NA,C,0,1,0.673574649
107,60,T2,NA,Natural,881,13,1,3.251692526,0,C,0,1,3.470265788
108,60,T2,NA,High Shade,881,17,16,1.368991605,NA,C,45,2,0.330656405
112,60,T2,NA,High Shade,868,17,16,2.665191222,NA,D,0,1,0.330656405
113,60,T2,NA,Natural,875,17,13,5.623735386,0,C,0,1,3.470265788
114,60,T2,NA,Low Shade,875,14,6,1.413502756,0,C,0,1,1.420391927
115,60,T2,NA,Medium Shade,875,13,4,7.144332636,0,C,0,1,0.673574649
116,60,T2,NA,High Shade,875,16,12,4.086844366,0,C,0,1,0.330656405
117,60,T2,NA,Natural,866,17,13,4.382101935,0,C,0,1,3.470265788
118,60,T2,NA,Low Shade,866,13,2,1.027277531,0,C,0,1,1.420391927
120,60,T2,NA,Medium Shade,866,13,4,2.103061614,0,C,0,1,0.673574649
123,60,T2,NA,Natural,857,13,1,2.863433284,NA,C,10,1,3.470265788
