frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,,mortality,dli
123,60,T2,NA,High Light,857,13,1,2.863433284,NA,C,,10,3.81
124,60,T2,NA,High Light,857,13,1,4.549941147,0,C,,15,3.81
126,60,T2,NA,High Light,863,13,1,4.691458704,0,C,,20,3.81
206,60,T2,NA,High Light,856,16,9,4.248592683,NA,C,,20,3.81
156,60,T2,NA,High Light,860,16,9,6.452763129,NA,C,,25,3.81
26,60,T2,NA,High Light,854,14,5,2.317406429,NA,D,,0,3.81
31,60,T2,NA,High Light,876,16,9,5.933065794,0.992869629,D,,0,3.81
35,60,T2,NA,High Light,896,13,1,9.443661994,0.970552568,D,,0,3.81
53,60,T2,NA,High Light,912,16,9,3.591385083,0.979848207,D,,0,3.81
56,60,T2,NA,High Light,916,14,5,8.32326596,NA,D,,0,3.81
75,60,T2,NA,High Light,909,14,5,3.979635835,0.977525863,D,,0,3.81
78,60,T2,NA,High Light,910,16,9,5.951262515,0.969614883,D,,0,3.81
83,60,T2,NA,High Light,911,13,1,5.112117441,1,D,,0,3.81
134,60,T2,NA,High Light,878,16,9,3.589363859,0.855912009,D,,0,3.81
11,60,T2,NA,High Light,886,17,13,4.974603279,0.976836397,D,,10,3.81
6,60,T2,NA,High Light,862,13,1,3.654111547,0.970901049,D,,75,3.81
16,60,T2,NA,Low Light,867,16,11,4.313307733,0,C,,0,0.755
45,60,T2,NA,Low Light,893,13,4,2.179902097,NA,C,,0,0.755
88,60,T2,NA,Low Light,920,17,15,4.430477085,NA,C,,0,0.755
104,60,T2,NA,Low Light,873,14,8,4.084807022,0,C,,0,0.755
106,60,T2,NA,Low Light,881,16,11,1.753237864,NA,C,,0,0.755
115,60,T2,NA,Low Light,875,13,4,7.144332636,0,C,,0,0.755
120,60,T2,NA,Low Light,866,13,4,2.103061614,0,C,,0,0.755
128,60,T2,NA,Low Light,863,17,15,4.218170273,0,C,,0,0.755
140,60,T2,NA,Low Light,877,16,11,2.584344095,NA,C,,0,0.755
146,60,T2,NA,Low Light,861,16,11,5.5812126,0,C,,0,0.755
150,60,T2,NA,Low Light,899,14,8,2.202158623,0,C,,0,0.755
159,60,T2,NA,Low Light,890,13,4,3.933131265,0,C,,0,0.755
192,60,T2,NA,Low Light,872,17,15,4.667074325,NA,C,,0,0.755
200,60,T2,NA,Low Light,905,17,15,4.523498132,0,C,,0,0.755
204,60,T2,NA,Low Light,895,14,8,4.509463548,0,C,,0,0.755
212,60,T2,NA,Low Light,879,13,4,3.872466281,0,C,,0,0.755
219,60,T2,NA,Low Light,888,17,15,4.855136794,NA,C,,0,0.755
224,60,T2,NA,Low Light,903,13,4,5.825885387,NA,C,,0,0.755
233,60,T2,NA,Low Light,891,17,15,4.228271257,0,C,,0,0.755
241,60,T2,NA,Low Light,892,14,8,5.142405198,0,C,,0,0.755
244,60,T2,NA,Low Light,885,16,11,3.795630558,0,C,,0,0.755
253,60,T2,NA,Low Light,865,16,11,3.120221467,NA,C,,0,0.755
258,60,T2,NA,Low Light,901,14,8,5.374961144,0,C,,0,0.755
262,60,T2,NA,Low Light,887,13,4,3.247612689,NA,C,,0,0.755
271,60,T2,NA,Low Light,883,14,8,5.528648481,0,C,,0,0.755
288,60,T2,NA,Low Light,853,17,15,6.177608901,0,C,,0,0.755
277,60,T2,NA,Low Light,900,16,11,1.263861671,0,C,,5,0.755
249,60,T2,NA,Low Light,882,13,4,2.651068192,0,C,,10,0.755
132,60,T2,NA,Low Light,859,13,4,4.57618295,0,C,,20,0.755
154,60,T2,NA,Low Light,860,14,8,4.475085824,NA,C,,25,0.755
272,60,T2,NA,Low Light,869,14,8,3.840122019,0,C,,30,0.755
144,60,T2,NA,Low Light,UNKNOWN2,17,15,1.472113825,NA,C,,NA,0.755
196,60,T2,NA,Low Light,858,16,11,3.039334106,0,C,,NA,0.755
