"","frag.id","days","time.point","notes","light.level","genotype","big.tank","tank","Dry.Weigh.g","propD","dom","mix","mortality","dli"
"57","83",60,"T2",NA,"Natural","911","13","1",5.11211744075368,1,"D","D",0,3.47026578762955
"58","84",60,"T2",NA,"Low Shade","922","16","10",5.58712859080692,NA,"D",NA,0,1.42039192733725
"59","85",60,"T2",NA,"Medium Shade","922","13","4",5.7247795476526,0.966428359164356,"D","DC",25,0.673574648996475
"60","86",60,"T2",NA,"High Shade","922","14","7",7.84002959225268,NA,"D",NA,100,0.330656405309048
"61","87",60,"T2",NA,"Low Shade","920","16","10",3.49837020026517,NA,"C",NA,0,1.42039192733725
"62","88",60,"T2",NA,"Medium Shade","920","17","15",4.43047708502748,NA,"C",NA,0,0.673574648996475
"63","89",60,"T2",NA,"High Shade","920","14","7",2.2203679098996,0,"C","C",0,0.330656405309048
"64","97",60,"T2",NA,"High Shade","894B","14","7",4.60047831614939,NA,"C",NA,NA,0.330656405309048
"65","101",60,"T2",NA,"High Shade","873","13","3",4.58426568689867,NA,"C",NA,0,0.330656405309048
"66","102",60,"T2",NA,"Natural","873","16","9",4.02008887756468,0,"C","C",0,3.47026578762955
"67","103",60,"T2",NA,"Low Shade","873","17","14",2.64089501629389,NA,"C",NA,0,1.42039192733725
"68","104",60,"T2",NA,"Medium Shade","873","14","8",4.08480702153498,0,"C","C",0,0.673574648996475
"69","105",60,"T2",NA,"Low Shade","881","14","6",4.5155235627581,0,"C","C",0,1.42039192733725
"70","106",60,"T2",NA,"Medium Shade","881","16","11",1.75323786437536,NA,"C",NA,0,0.673574648996475
"71","107",60,"T2",NA,"Natural","881","13","1",3.25169252619009,0,"C","C",0,3.47026578762955
"72","108",60,"T2",NA,"High Shade","881","17","16",1.36899160456827,NA,"C",NA,45,0.330656405309048
"73","112",60,"T2",NA,"High Shade","868","17","16",2.66519122207426,NA,"D",NA,0,0.330656405309048
"74","113",60,"T2",NA,"Natural","875","17","13",5.62373538557862,0,"C","C",0,3.47026578762955
"75","114",60,"T2",NA,"Low Shade","875","14","6",1.41350275629339,0,"C","C",0,1.42039192733725
"76","115",60,"T2",NA,"Medium Shade","875","13","4",7.14433263619854,0,"C","C",0,0.673574648996475
"77","116",60,"T2",NA,"High Shade","875","16","12",4.08684436603046,0,"C","C",0,0.330656405309048
"78","117",60,"T2",NA,"Natural","866","17","13",4.38210193462873,0,"C","C",0,3.47026578762955
"79","118",60,"T2",NA,"Low Shade","866","13","2",1.02727753131252,0,"C","C",0,1.42039192733725
"80","120",60,"T2",NA,"Medium Shade","866","13","4",2.10306161431731,0,"C","C",0,0.673574648996475
"81","123",60,"T2",NA,"Natural","857","13","1",2.86343328415196,NA,"C",NA,10,3.47026578762955
"82","124",60,"T2",NA,"Natural","857","13","1",4.54994114678758,0,"C","C",15,3.47026578762955
"83","126",60,"T2",NA,"Natural","863","13","1",4.69145870389599,0,"C","C",20,3.47026578762955
"84","127",60,"T2",NA,"Low Shade","863","16","10",3.24155249113147,0,"C","C",0,1.42039192733725
"85","128",60,"T2",NA,"Medium Shade","863","17","15",4.21817027314621,0,"C","C",0,0.673574648996475
"86","129",60,"T2",NA,"High Shade","863","14","7",1.94129877571408,0,"C","C",0,0.330656405309048
"87","130",60,"T2",NA,"Natural","859","17","13",2.89781066115096,0,"C","C",0,3.47026578762955
"88","131",60,"T2",NA,"Low Shade","859","14","6",8.07454913076451,0,"C","C",0,1.42039192733725
"89","132",60,"T2",NA,"Medium Shade","859","13","4",4.57618294994844,0,"C","C",20,0.673574648996475
"90","133",60,"T2",NA,"High Shade","859","16","12",6.87746678261046,0,"C","C",0,0.330656405309048
"91","134",60,"T2",NA,"Natural","878","16","9",3.58936385850233,0.855912008841824,"D","DC",0,3.47026578762955
"92","135",60,"T2",NA,"Low Shade","878","13","2",1.72493731567416,NA,"D",NA,80,1.42039192733725
"93","136",60,"T2",NA,"Medium Shade","878","14","8",1.0394012654172,NA,"D",NA,55,0.673574648996475
"94","137",60,"T2",NA,"High Shade","878","17","16",2.29310977788484,NA,"D",NA,100,0.330656405309048
"95","138",60,"T2",NA,"Natural","877","14","5",4.258700282052,0,"C","C",0,3.47026578762955
"96","139",60,"T2",NA,"Low Shade","877","17","14",3.53871673064674,0,"C","C",0,1.42039192733725
"97","140",60,"T2",NA,"Medium Shade","877","16","11",2.58434409519735,NA,"C",NA,0,0.673574648996475
"98","141",60,"T2",NA,"High Shade","877","13","3",1.90286476715367,0,"C","C",0,0.330656405309048
"99","142",60,"T2",NA,"Low Shade","UNKNOWN1","17","14",3.58927095167025,0,"C","C",0,1.42039192733725
"100","144",60,"T2",NA,"Medium Shade","UNKNOWN2","17","15",1.47211382516876,NA,"C",NA,NA,0.673574648996475
"101","146",60,"T2",NA,"Medium Shade","861","16","11",5.58121259995672,0,"C","C",0,0.673574648996475
"102","147",60,"T2",NA,"Low Shade","861","17","14",3.35268036690109,0.0199642665546419,"C","CD",0,1.42039192733725
"103","148",60,"T2",NA,"Natural","861","14","5",2.42866121857731,NA,"C",NA,0,3.47026578762955
"104","149",60,"T2",NA,"High Shade","861","13","3",3.56310603361737,NA,"C",NA,100,0.330656405309048
"105","150",60,"T2",NA,"Medium Shade","899","14","8",2.20215862347099,0,"C","C",0,0.673574648996475
"106","151",60,"T2",NA,"High Shade","899","17","16",2.01203897959182,NA,"C",NA,20,0.330656405309048
"107","153",60,"T2",NA,"Low Shade","899","16","10",4.20208697903729,0,"C","C",0,1.42039192733725
"108","154",60,"T2",NA,"Medium Shade","860","14","8",4.47508582425945,NA,"C",NA,25,0.673574648996475
"109","155",60,"T2",NA,"Low Shade","860","17","14",3.82383674604589,0,"C","C",0,1.42039192733725
"110","156",60,"T2",NA,"Natural","860","16","9",6.45276312852733,NA,"C",NA,25,3.47026578762955
"111","157",60,"T2",NA,"High Shade","860","13","3",3.49633622706162,0,"C","C",50,0.330656405309048
"112","158",60,"T2",NA,"High Shade","890","16","12",2.34371710930108,0,"C","C",0,0.330656405309048
"113","159",60,"T2",NA,"Medium Shade","890","13","4",3.93313126474011,0,"C","C",0,0.673574648996475
"114","160",60,"T2",NA,"Low Shade","890","14","6",3.54285029172804,0,"C","C",0,1.42039192733725
"115","161",60,"T2",NA,"Natural","890","17","13",3.1606903180733,NA,"C",NA,0,3.47026578762955
"116","186",60,"T2",NA,"Natural","881","14","5",1.78760095079171,0,"C","C",0,3.47026578762955
"117","187",60,"T2",NA,"High Shade","881","16","12",7.2232618979056,0.011688124010731,"C","CD",10,0.330656405309048
"118","191",60,"T2",NA,"Natural","872","16","9",5.96340045294651,0.0010612022680887,"C","CD",0,3.47026578762955
"119","192",60,"T2",NA,"Medium Shade","872","17","15",4.66707432523864,NA,"C",NA,0,0.673574648996475
"120","195",60,"T2",NA,"Low Shade","858","13","2",3.23754174956601,0,"C","C",0,1.42039192733725
"121","196",60,"T2",NA,"Medium Shade","858","16","11",3.03933410634483,0,"C","C",NA,0.673574648996475
"122","198",60,"T2",NA,"Natural","905","13","1",2.80074472129899,0,"C","C",0,3.47026578762955
"123","199",60,"T2",NA,"Low Shade","905","16","10",2.07677694689646,0,"C","C",0,1.42039192733725
"124","200",60,"T2",NA,"Medium Shade","905","17","15",4.52349813187314,0,"C","C",0,0.673574648996475
"125","201",60,"T2",NA,"High Shade","905","14","7",3.32246189228815,NA,"C",NA,100,0.330656405309048
"126","202",60,"T2",NA,"Natural","895","16","9",3.63183027180245,0,"C","C",0,3.47026578762955
"127","203",60,"T2",NA,"Low Shade","895","13","2",7.55696854005902,0,"C","C",0,1.42039192733725
"128","204",60,"T2",NA,"Medium Shade","895","14","8",4.50946354754312,0,"C","C",0,0.673574648996475
"129","205",60,"T2",NA,"High Shade","895","17","16",5.70244752765679,NA,"C",NA,15,0.330656405309048
"130","206",60,"T2",NA,"Natural","856","16","9",4.24859268344308,NA,"C",NA,20,3.47026578762955
"131","208",60,"T2",NA,"Low Shade","856","14","6",13.182565618627,NA,"C",NA,80,1.42039192733725
"132","210",60,"T2",NA,"Natural","879","14","5",3.31232028673462,0,"C","C",0,3.47026578762955
"133","212",60,"T2",NA,"Medium Shade","879","13","4",3.87246628093146,0,"C","C",0,0.673574648996475
"134","213",60,"T2",NA,"High Shade","879","16","12",2.3760204904008,NA,"C",NA,55,0.330656405309048
