frag.id,mass.g,temp.c,date,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mix,mortality
24,2.659,24.151,Nov-29-2017,31,T1,,Medium Shade,880,17,15,5.377160226392045,NA,D,NA,0
26,1.146,25.781,Jan-8-2018,60,T2,NA,Natural,854,14,5,2.31740642945893,NA,D,NA,0
26,1.097,26.34,Oct-29-2017,0,T0,NA,Natural,854,14,5,2.2182902320818356,0.9889246537521296,D,DC,0
26,1.106,23.965,Nov-29-2017,31,T1,,Natural,854,14,5,2.236617465561127,NA,D,NA,NA
27,1.807,24.249,Nov-29-2017,31,T1,,Medium Shade,854,13,4,3.654195413008255,NA,D,NA,0
27,1.806,25.707,Jan-8-2018,60,T2,NA,Medium Shade,854,13,4,3.652044916372409,0.974908133109577,D,DC,0
27,1.802,25.973,Oct-29-2017,0,T0,NA,Medium Shade,854,13,4,3.64393286665556,0.974627677088881,D,DC,0
28,0.903,23.688,Nov-29-2017,31,T1,,Low Shade,854,16,10,1.8261112461783775,NA,D,NA,0
28,0.898,25.492,Oct-30-2017,1,T0,NA,Low Shade,854,16,10,1.8159209985698985,0.9787172102740463,D,DC,5
28,0.913,25.628,Jan-8-2018,60,T2,NA,Low Shade,854,16,10,1.846247705106177,0.979741015023041,D,DC,0
29,2.104,26.26,Jan-8-2018,60,T2,NA,High Shade,854,17,16,4.254595850253958,NA,D,NA,25
29,2.122,26.28,Oct-29-2017,0,T0,NA,High Shade,854,17,16,4.290992415520458,0.9778043433634904,D,DC,0
29,2.1,24.052,Nov-29-2017,31,T1,,High Shade,854,17,16,4.24673312871822,NA,D,NA,0
31,2.934,25.641,Jan-8-2018,60,T2,NA,Natural,876,16,9,5.933065794176739,0.992869629384916,D,DC,0
31,2.763,24.792,Oct-29-2017,0,T0,NA,Natural,876,16,9,5.587387885299587,0.9757631903416518,D,DC,0
31,2.826,23.849,Nov-29-2017,31,T1,,Natural,876,16,9,5.714917366862723,NA,D,NA,0
32,1.182,25.353,Oct-30-2017,1,T0,NA,Low Shade,876,14,6,2.3902291849344803,0.9846662755103324,D,DC,NA
32,1.196,25.583,Jan-8-2018,60,T2,NA,Low Shade,876,14,6,2.4185264505879456,NA,D,NA,NA
32,1.214,23.829,Nov-29-2017,31,T1,,Low Shade,876,14,6,2.4550293784620436,NA,D,NA,NA
33,1.776,24.298,Nov-29-2017,31,T1,,Medium Shade,876,13,4,3.5915016031481435,NA,D,NA,0
33,1.771,26.277,Oct-29-2017,0,T0,NA,Medium Shade,876,13,4,3.5812196594572874,0.9801435492024309,D,DC,0
33,1.778,25.72,Jan-8-2018,60,T2,NA,Medium Shade,876,13,4,3.5954229387381025,0.9780149284476864,D,DC,0
34,1.193,26.235,Jan-8-2018,60,T2,NA,High Shade,876,17,16,2.41242200936573,NA,D,NA,0
34,1.193,25.611,Oct-29-2017,0,T0,NA,High Shade,876,17,16,2.4124582851691074,0.976802149593022,D,DC,0
34,1.2,24.033,Nov-29-2017,31,T1,,High Shade,876,17,16,2.426705754987155,NA,D,NA,0
35,4.67,25.211,Jan-8-2018,60,T2,NA,Natural,896,13,1,9.44366199434786,0.970552567912505,D,DC,0
35,3.778,25.14,Oct-29-2017,0,T0,NA,Natural,896,13,1,7.639874953802903,0.975212922872978,D,DC,0
35,4.176,24.621,Nov-29-2017,31,T1,,Natural,896,13,1,8.444816466557407,NA,D,NA,0
36,1.887,23.694,Nov-29-2017,31,T1,,Low Shade,896,16,10,3.816025940073401,NA,D,NA,0
36,1.744,25.242,Oct-29-2017,0,T0,NA,Low Shade,896,16,10,3.5267096829095137,0.979227167838283,D,DC,0
36,1.963,25.635,Jan-8-2018,60,T2,NA,Low Shade,896,16,10,3.9695330053378863,0.9766049022578648,D,DC,0
37,1.297,26.542,Jan-8-2018,60,T2,NA,Medium Shade,896,17,15,2.6227059455042454,0.9864044923082852,D,DC,0
37,1.265,25.575,Oct-29-2017,0,T0,NA,Medium Shade,896,17,15,2.5580573157963764,0.985932075103172,D,DC,0
37,1.29,24.262,Nov-29-2017,31,T1,,Medium Shade,896,17,15,2.6086943039968973,NA,D,NA,0
38,2.062,26.005,Oct-29-2017,0,T0,NA,High Shade,896,14,7,4.169691330057166,0.9888831199758956,D,DC,0
38,2.098,24.768,Nov-29-2017,31,T1,,High Shade,896,14,7,4.242615475541564,NA,D,NA,NA
38,2.103,25.436,Jan-8-2018,60,T2,NA,High Shade,896,14,7,4.252658142817257,NA,D,NA,0
40,1.681,23.51,Nov-29-2017,31,T1,,High Shade,871,16,12,3.399453107634895,NA,C,NA,0
40,1.67,25.712,Oct-29-2017,0,T0,NA,High Shade,871,16,12,3.3770289455001694,0.1607530651637611,C,CD,0
40,1.685,25.386,Jan-8-2018,60,T2,NA,High Shade,871,16,12,3.4073883034980175,NA,C,NA,0
41,0.511,25.591,Oct-29-2017,0,T0,NA,Natural,871,17,13,1.033333426454173,0.08396683964360274,C,CD,0
41,0.537,24.709,Nov-29-2017,31,T1,,Natural,871,17,13,1.085933149463479,NA,C,NA,0
41,0.576,25.238,Jan-8-2018,60,T2,NA,Natural,871,17,13,1.1647849616363621,0.28145380377035545,C,CD,0
43,1.066,24.82,Oct-29-2017,0,T0,NA,Natural,893,17,13,2.1556827612066294,0.14389474150345205,C,CD,0
43,1.08,24.578,Nov-29-2017,31,T1,,Natural,893,17,13,2.1840065201175376,NA,C,NA,0
43,1.104,25.229,Jan-8-2018,60,T2,NA,Natural,893,17,13,2.232504993815157,0.1811087717417764,C,CD,0
44,0.756,25.586,Jan-8-2018,60,T2,NA,Low Shade,893,14,6,1.5287674452227036,0.3791727632176124,C,CD,0
44,0.744,25.069,Oct-29-2017,0,T0,NA,Low Shade,893,14,6,1.5045200335139657,0.4676226113586809,C,CD,0
44,0.75,23.752,Nov-29-2017,31,T1,,Low Shade,893,14,6,1.5167013563565295,NA,C,NA,0
45,1.078,25.72,Jan-8-2018,60,T2,NA,Medium Shade,893,13,4,2.1799020967152276,NA,C,NA,0
45,1.076,25.888,Oct-29-2017,0,T0,NA,Medium Shade,893,13,4,2.1758489432328747,0.16642265521563515,C,CD,0
45,1.078,24.379,Nov-29-2017,31,T1,,Medium Shade,893,13,4,2.1799725097230955,NA,C,NA,0
46,0.848,26.32,Oct-29-2017,0,T0,NA,High Shade,893,16,12,1.7147775967231516,0.18555187767950387,C,CD,0
46,0.852,25.38,Jan-8-2018,60,T2,NA,High Shade,893,16,12,1.722905195377514,0.01948931514852103,C,CD,0
46,0.851,23.504,Nov-29-2017,31,T1,,High Shade,893,16,12,1.7209607450058828,NA,C,NA,0
47,1.892,24.759,Oct-29-2017,0,T0,NA,Natural,867B,14,5,3.8260391895047103,NA,D,NA,0
47,1.924,23.847,Nov-29-2017,31,T1,,Natural,867B,14,5,3.8908356486941553,NA,D,NA,0
48,2.151,23.667,Nov-29-2017,31,T1,,Low Shade,867B,17,14,4.349908389793028,NA,D,NA,15
48,2.152,25.577,Jan-8-2018,60,T2,NA,Low Shade,867B,17,14,4.351730496702279,NA,D,NA,40
48,2.132,26.424,Oct-29-2017,0,T0,NA,Low Shade,867B,17,14,4.311198905432778,0.9699231146158828,D,DC,5
49,1.667,23.668,Nov-29-2017,31,T1,,Medium Shade,867B,16,11,3.3711283641322805,NA,D,NA,10
49,1.662,24.773,Oct-29-2017,0,T0,NA,Medium Shade,867B,16,11,3.360927584014767,NA,D,NA,0
50,1.891,24.036,Nov-29-2017,31,T1,90% dead,High Shade,867B,13,3,3.8240835427148303,NA,D,NA,90
50,1.905,25.124,Oct-29-2017,0,T0,NA,High Shade,867B,13,3,3.8522941758023177,0.8800975727310837,D,DC,0
50,1.915,25.713,Jan-8-2018,60,T2,NA,High Shade,867B,13,3,3.8724612424009415,NA,D,NA,90
51,2.625,24.831,Oct-29-2017,0,T0,NA,Medium Shade,912,14,8,5.308316837754611,1,D,D,0
51,2.624,23.652,Nov-29-2017,31,T1,,Medium Shade,912,14,8,5.306445251431484,NA,D,NA,0
52,2.716,24.665,Oct-29-2017,0,T0,NA,High Shade,912,17,16,5.492360445422346,NA,D,NA,0
52,2.696,24.003,Nov-29-2017,31,T1,,High Shade,912,17,16,5.452002867088162,NA,D,NA,NA
52,2.683,26.314,Jan-8-2018,60,T2,NA,High Shade,912,17,16,5.4254115063074915,NA,D,NA,100
53,1.776,25.645,Jan-8-2018,60,T2,NA,Natural,912,16,9,3.591385083477201,0.9798482074090108,D,DC,0
53,1.589,24.652,Oct-29-2017,0,T0,NA,Natural,912,16,9,3.2133149779145653,NA,D,NA,0
53,1.643,23.972,Nov-29-2017,31,T1,,Natural,912,16,9,3.3225695087415787,NA,D,NA,0
54,1.479,23.489,Nov-29-2017,31,T1,,Medium Shade,916,16,11,2.990954007933842,NA,D,NA,0
54,1.479,25.388,Jan-8-2018,60,T2,NA,Medium Shade,916,16,11,2.990817245138609,0.9804624122951427,D,DC,0
54,1.474,24.362,Oct-29-2017,0,T0,NA,Medium Shade,916,16,11,2.9807799579162673,NA,D,NA,0
55,1.121,24.538,Nov-29-2017,31,T1,,Low Shade,916,17,14,2.2669200623156995,NA,D,NA,0
55,1.118,24.389,Oct-29-2017,0,T0,NA,Low Shade,916,17,14,2.2608614833255944,NA,D,NA,0
55,1.134,26.712,Jan-8-2018,60,T2,NA,Low Shade,916,17,14,2.2930889389866707,0.9775576598151774,D,DC,0
56,4.067,23.866,Nov-29-2017,31,T1,,Natural,916,14,5,8.224543319036753,NA,D,NA,0
56,4.116,25.703,Jan-8-2018,60,T2,NA,Natural,916,14,5,8.323265960440612,NA,D,NA,0
56,3.939,24.253,Oct-29-2017,0,T0,NA,Natural,916,14,5,7.965619449694567,NA,D,NA,0
57,0.82,24.421,Nov-29-2017,31,T1,,Low Shade,909,17,14,1.6582334417261921,NA,D,NA,20
57,0.825,26.724,Jan-8-2018,60,T2,NA,Low Shade,909,17,14,1.6682520523661886,NA,D,NA,20
57,0.82,24.748,Oct-29-2017,0,T0,NA,Low Shade,909,17,14,1.658220383998637,NA,D,NA,20
58,1.081,25.588,Jan-8-2018,60,T2,NA,Medium Shade,909,16,11,2.185975566999864,NA,D,NA,0
58,1.077,23.635,Nov-29-2017,31,T1,,Medium Shade,909,16,11,2.1779892813530948,NA,D,NA,0
58,1.078,24.912,Oct-29-2017,0,T0,NA,Medium Shade,909,16,11,2.1799445286090746,NA,D,NA,0
59,2.659,25.729,Jan-8-2018,60,T2,NA,High Shade,909,13,3,5.376955861023571,NA,D,NA,100
59,1.681,24.06,Nov-29-2017,31,T1,,High Shade,909,13,3,3.3994081021326488,NA,D,NA,10
59,1.681,24.963,Oct-29-2017,0,T0,NA,High Shade,909,13,3,3.399334184870813,NA,D,NA,0
64,1.477,24.726,Oct-29-2017,0,T0,NA,Low Shade,912,13,2,2.9868204936708747,0.9858599567309656,D,DC,0
64,1.528,25.126,Jan-8-2018,60,T2,NA,Low Shade,912,13,2,3.0899239984512974,NA,D,NA,10
64,1.494,24.422,Nov-29-2017,31,T1,,Low Shade,912,13,2,3.021220368640821,NA,D,NA,0
68,1.583,25.376,Jan-8-2018,60,T2,NA,High Shade,911,16,12,3.201125806456771,0.96124068745778,D,DC,25
68,1.578,23.463,Nov-29-2017,31,T1,,High Shade,911,16,12,3.191161851175604,NA,D,NA,0
68,1.578,24.842,Oct-29-2017,0,T0,NA,High Shade,911,16,12,3.1910559050726444,0.972215161509815,D,DC,0
69,2.361,25.132,Jan-8-2018,60,T2,NA,Low Shade,910,13,2,4.774417215951437,0.9767786061238206,D,DC,0
69,2.26,24.641,Oct-29-2017,0,T0,NA,Low Shade,910,13,2,4.570228932547241,1,D,D,0
69,2.326,24.49,Nov-29-2017,31,T1,,Low Shade,910,13,2,4.7037128988210855,NA,D,NA,0
70,3.575,24.714,Nov-29-2017,31,T1,,Natural,922,17,13,7.229442349836567,NA,D,NA,0
70,3.502,24.39,Oct-29-2017,0,T0,NA,Natural,922,17,13,7.081875423937929,0.9780460343037864,D,DC,0
73,4.578,23.695,Nov-29-2017,31,T1,,Low Shade,919,14,6,9.257957781218014,NA,C,NA,20
73,4.665,25.637,Jan-8-2018,60,T2,NA,Low Shade,919,14,6,9.433454191317683,0,C,C,25
73,4.514,24.411,Oct-29-2017,0,T0,NA,Low Shade,919,14,6,9.128375071131805,0,C,C,15
74,1.454,25.257,Jan-8-2018,60,T2,NA,Natural,920,13,1,2.9402718039322933,0.04147196337858971,C,CD,0
74,1.291,24.555,Nov-29-2017,31,T1,,Natural,920,13,1,2.6106981288040405,NA,C,NA,0
74,1.251,24.682,Oct-29-2017,0,T0,NA,Natural,920,13,1,2.5298012165978863,0.024275472363248,C,CD,0
75,1.922,23.851,Nov-29-2017,31,T1,,Natural,909,14,5,3.886790746742427,NA,D,NA,0
75,1.903,24.874,Oct-29-2017,0,T0,NA,Natural,909,14,5,3.8482729449928286,0.9781876794859028,D,DC,0
75,1.968,25.719,Jan-8-2018,60,T2,NA,Natural,909,14,5,3.979635834605804,0.977525863431153,D,DC,0
76,2.78,25.729,Jan-8-2018,60,T2,NA,High Shade,916,13,3,5.621638696369134,NA,D,NA,25
76,2.779,24.33,Oct-29-2017,0,T0,NA,High Shade,916,13,3,5.619805892505217,0.9855786681565972,D,DC,0
76,2.78,24.037,Nov-29-2017,31,T1,,High Shade,916,13,3,5.621867791017894,NA,D,NA,NA
78,2.654,23.932,Nov-29-2017,31,T1,,Natural,910,16,9,5.367077277787994,NA,D,NA,0
78,2.489,24.608,Oct-29-2017,0,T0,NA,Natural,910,16,9,5.033322501315245,NA,D,NA,0
78,2.943,25.661,Jan-8-2018,60,T2,NA,Natural,910,16,9,5.951262514667615,0.9696148834567608,D,DC,0
79,1.695,25.517,Jan-8-2018,60,T2,NA,Medium Shade,910,14,8,3.427599374906576,0.9573363099992008,D,DC,0
79,1.692,23.67,Nov-29-2017,31,T1,,Medium Shade,910,14,8,3.421685013513549,NA,D,NA,0
79,1.686,24.662,Oct-29-2017,0,T0,NA,Medium Shade,910,14,8,3.409469948450041,NA,D,NA,0
80,1.255,24,Nov-29-2017,31,T1,,High Shade,910,17,16,2.5379317849978484,NA,D,NA,0
80,1.254,26.195,Jan-8-2018,60,T2,NA,High Shade,910,17,16,2.535775453629639,NA,D,NA,15
80,1.253,24.782,Oct-29-2017,0,T0,NA,High Shade,910,17,16,2.5338395607572153,NA,D,NA,0
81,1.561,24.817,Oct-29-2017,0,T0,NA,Medium Shade,911,17,15,3.1566801438769967,NA,D,NA,0
81,1.565,26.638,Jan-8-2018,60,T2,NA,Medium Shade,911,17,15,3.1646301511973283,NA,D,NA,15
81,1.559,24.319,Nov-29-2017,31,T1,,Medium Shade,911,17,15,3.15267351813439,NA,D,NA,0
