Site Name ,TANK10
Site Number ,10
Logger ,Integrating Light Sensor
Logger Serial Number ,7278


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

145,06/12/2017 , 02:15:00,0,0
146,06/12/2017 , 02:30:00,0,0
147,06/12/2017 , 02:45:00,0,0
148,06/12/2017 , 03:00:00,0,0
149,06/12/2017 , 03:15:00,0,0
150,06/12/2017 , 03:30:00,0,0
151,06/12/2017 , 03:45:00,0,0
152,06/12/2017 , 04:00:00,0,0
153,06/12/2017 , 04:15:00,0,0
154,06/12/2017 , 04:30:00,0,0
155,06/12/2017 , 04:45:00,0,0
156,06/12/2017 , 05:00:00,0,0
157,06/12/2017 , 05:15:00,0,0
158,06/12/2017 , 05:30:00,0,0
159,06/12/2017 , 05:45:00,0,0
160,06/12/2017 , 06:00:00,0,0
161,06/12/2017 , 06:15:00,0,0
162,06/12/2017 , 06:30:00,0,0
163,06/12/2017 , 06:45:00,0,0
164,06/12/2017 , 07:00:00,16,16
165,06/12/2017 , 07:15:00,68,68
166,06/12/2017 , 07:30:00,183,183
167,06/12/2017 , 07:45:00,415,415
168,06/12/2017 , 08:00:00,569,569
169,06/12/2017 , 08:15:00,516,516
170,06/12/2017 , 08:30:00,937,937
171,06/12/2017 , 08:45:00,1336,1336
172,06/12/2017 , 09:00:00,1303,1303
173,06/12/2017 , 09:15:00,1076,1076
174,06/12/2017 , 09:30:00,1290,1290
175,06/12/2017 , 09:45:00,1633,1633
176,06/12/2017 , 10:00:00,1520,1520
177,06/12/2017 , 10:15:00,1675,1675
178,06/12/2017 , 10:30:00,4322,4322
179,06/12/2017 , 10:45:00,4940,4940
180,06/12/2017 , 11:00:00,3174,3174
181,06/12/2017 , 11:15:00,3790,3790
182,06/12/2017 , 11:30:00,2675,2675
183,06/12/2017 , 11:45:00,3989,3989
184,06/12/2017 , 12:00:00,4657,4657
185,06/12/2017 , 12:15:00,4814,4814
186,06/12/2017 , 12:30:00,3973,3973
187,06/12/2017 , 12:45:00,3835,3835
188,06/12/2017 , 13:00:00,3746,3746
189,06/12/2017 , 13:15:00,2695,2695
190,06/12/2017 , 13:30:00,2805,2805
191,06/12/2017 , 13:45:00,3262,3262
192,06/12/2017 , 14:00:00,3646,3646
193,06/12/2017 , 14:15:00,2231,2231
194,06/12/2017 , 14:30:00,1644,1644
195,06/12/2017 , 14:45:00,2222,2222
196,06/12/2017 , 15:00:00,2085,2085
197,06/12/2017 , 15:15:00,1452,1452
198,06/12/2017 , 15:30:00,1072,1072
199,06/12/2017 , 15:45:00,927,927
200,06/12/2017 , 16:00:00,790,790
201,06/12/2017 , 16:15:00,841,841
202,06/12/2017 , 16:30:00,649,649
203,06/12/2017 , 16:45:00,567,567
204,06/12/2017 , 17:00:00,474,474
205,06/12/2017 , 17:15:00,387,387
206,06/12/2017 , 17:30:00,199,199
207,06/12/2017 , 17:45:00,71,71
208,06/12/2017 , 18:00:00,16,16
209,06/12/2017 , 18:15:00,0,0
210,06/12/2017 , 18:30:00,0,0
211,06/12/2017 , 18:45:00,0,0
212,06/12/2017 , 19:00:00,0,0
213,06/12/2017 , 19:15:00,0,0
214,06/12/2017 , 19:30:00,0,0
215,06/12/2017 , 19:45:00,0,0
216,06/12/2017 , 20:00:00,0,0
217,06/12/2017 , 20:15:00,0,0
218,06/12/2017 , 20:30:00,0,0
219,06/12/2017 , 20:45:00,0,0
220,06/12/2017 , 21:00:00,0,0
221,06/12/2017 , 21:15:00,0,0
222,06/12/2017 , 21:30:00,0,0
223,06/12/2017 , 21:45:00,0,0
224,06/12/2017 , 22:00:00,0,0
225,06/12/2017 , 22:15:00,0,0
226,06/12/2017 , 22:30:00,0,0
227,06/12/2017 , 22:45:00,0,0
228,06/12/2017 , 23:00:00,0,0
229,06/12/2017 , 23:15:00,0,0
230,06/12/2017 , 23:30:00,0,0
231,06/12/2017 , 23:45:00,0,0
232,06/12/2017 , 24:00:00,0,0
233,07/12/2017 , 00:15:00,0,0
234,07/12/2017 , 00:30:00,0,0
235,07/12/2017 , 00:45:00,0,0
236,07/12/2017 , 01:00:00,0,0
237,07/12/2017 , 01:15:00,0,0
238,07/12/2017 , 01:30:00,0,0
239,07/12/2017 , 01:45:00,0,0
240,07/12/2017 , 02:00:00,0,0
241,07/12/2017 , 02:15:00,0,0
242,07/12/2017 , 02:30:00,0,0
243,07/12/2017 , 02:45:00,0,0
244,07/12/2017 , 03:00:00,0,0
245,07/12/2017 , 03:15:00,0,0
246,07/12/2017 , 03:30:00,0,0
247,07/12/2017 , 03:45:00,0,0
248,07/12/2017 , 04:00:00,0,0
249,07/12/2017 , 04:15:00,0,0
250,07/12/2017 , 04:30:00,0,0
251,07/12/2017 , 04:45:00,0,0
252,07/12/2017 , 05:00:00,0,0
